team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
BOS,0.873,0.112,0.012,0.0,0.002,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIN,0.469,0.269,0.159,0.067,0.017,0.008,0.005,0.005,0.0,0.001,0.0,0.0,0.0,0.0,0.0
DEN,0.326,0.319,0.202,0.088,0.043,0.014,0.004,0.002,0.002,0.0,0.0,0.0,0.0,0.0,0.0
OKC,0.144,0.248,0.28,0.181,0.069,0.036,0.019,0.011,0.006,0.006,0.0,0.0,0.0,0.0,0.0
PHI,0.105,0.606,0.191,0.064,0.021,0.005,0.007,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LAC,0.044,0.099,0.165,0.247,0.166,0.087,0.084,0.055,0.028,0.017,0.007,0.001,0.0,0.0,0.0
MIL,0.019,0.21,0.4,0.163,0.096,0.062,0.038,0.009,0.003,0.0,0.0,0.0,0.0,0.0,0.0
SAC,0.005,0.015,0.059,0.082,0.122,0.139,0.121,0.137,0.109,0.094,0.075,0.042,0.0,0.0,0.0
NOP,0.004,0.018,0.04,0.075,0.136,0.176,0.155,0.128,0.119,0.073,0.056,0.02,0.0,0.0,0.0
PHO,0.003,0.008,0.014,0.052,0.091,0.133,0.127,0.122,0.129,0.155,0.104,0.059,0.003,0.0,0.0
HOU,0.002,0.012,0.037,0.077,0.127,0.122,0.152,0.142,0.11,0.119,0.066,0.031,0.003,0.0,0.0
DAL,0.002,0.009,0.029,0.073,0.113,0.129,0.126,0.142,0.141,0.092,0.094,0.046,0.004,0.0,0.0
NYK,0.001,0.019,0.096,0.155,0.183,0.168,0.182,0.125,0.047,0.019,0.005,0.0,0.0,0.0,0.0
CLE,0.001,0.016,0.09,0.16,0.175,0.186,0.167,0.122,0.044,0.028,0.009,0.002,0.0,0.0,0.0
MIA,0.001,0.009,0.062,0.145,0.15,0.181,0.177,0.169,0.061,0.034,0.007,0.004,0.0,0.0,0.0
LAL,0.001,0.002,0.012,0.036,0.07,0.075,0.098,0.128,0.155,0.149,0.176,0.088,0.01,0.0,0.0
ORL,0.0,0.017,0.081,0.16,0.185,0.181,0.135,0.137,0.073,0.02,0.009,0.002,0.0,0.0,0.0
IND,0.0,0.011,0.065,0.141,0.156,0.162,0.157,0.169,0.08,0.038,0.018,0.003,0.0,0.0,0.0
GSW,0.0,0.001,0.003,0.02,0.042,0.075,0.088,0.106,0.141,0.189,0.197,0.131,0.007,0.0,0.0
ATL,0.0,0.0,0.003,0.006,0.017,0.028,0.047,0.109,0.262,0.206,0.177,0.138,0.007,0.0,0.0
TOR,0.0,0.0,0.0,0.005,0.003,0.006,0.029,0.048,0.135,0.213,0.271,0.278,0.011,0.001,0.0
UTA,0.0,0.0,0.0,0.002,0.004,0.006,0.021,0.022,0.06,0.103,0.205,0.491,0.082,0.004,0.0
BRK,0.0,0.0,0.0,0.001,0.009,0.016,0.041,0.067,0.158,0.223,0.258,0.218,0.009,0.0,0.0
CHI,0.0,0.0,0.0,0.0,0.003,0.005,0.019,0.044,0.137,0.218,0.242,0.319,0.013,0.0,0.0
MEM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.02,0.089,0.763,0.113,0.013
CHO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.003,0.035,0.781,0.142,0.038
WAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.127,0.491,0.38
POR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.108,0.627,0.264
SAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.02,0.256,0.723
DET,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.052,0.366,0.582
