team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
BOS,0.818,0.149,0.024,0.008,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PHI,0.146,0.519,0.209,0.068,0.035,0.016,0.003,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIL,0.024,0.181,0.309,0.207,0.124,0.08,0.04,0.024,0.005,0.005,0.001,0.0,0.0,0.0,0.0
ORL,0.008,0.068,0.165,0.204,0.179,0.132,0.113,0.075,0.033,0.014,0.008,0.001,0.0,0.0,0.0
NYK,0.003,0.048,0.115,0.179,0.18,0.162,0.13,0.087,0.056,0.026,0.014,0.0,0.0,0.0,0.0
CLE,0.001,0.027,0.114,0.168,0.185,0.187,0.128,0.084,0.062,0.034,0.007,0.002,0.001,0.0,0.0
MIA,0.0,0.004,0.032,0.072,0.097,0.145,0.165,0.154,0.143,0.114,0.055,0.019,0.0,0.0,0.0
IND,0.0,0.004,0.022,0.052,0.091,0.125,0.157,0.157,0.17,0.118,0.074,0.03,0.0,0.0,0.0
BRK,0.0,0.0,0.005,0.025,0.068,0.074,0.119,0.187,0.183,0.171,0.12,0.047,0.001,0.0,0.0
ATL,0.0,0.0,0.004,0.013,0.028,0.052,0.09,0.142,0.18,0.204,0.172,0.111,0.004,0.0,0.0
CHI,0.0,0.0,0.001,0.001,0.002,0.008,0.021,0.027,0.066,0.133,0.239,0.448,0.049,0.004,0.001
TOR,0.0,0.0,0.0,0.003,0.011,0.018,0.034,0.059,0.101,0.176,0.3,0.278,0.018,0.002,0.0
CHO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.005,0.009,0.058,0.717,0.175,0.035
WAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.003,0.116,0.412,0.468
DET,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.094,0.407,0.496
