team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
MIN,0.694,0.181,0.078,0.023,0.015,0.006,0.0,0.002,0.001,0.0,0.0,0.0,0.0,0.0,0.0
DEN,0.184,0.333,0.182,0.124,0.082,0.045,0.023,0.014,0.009,0.002,0.002,0.0,0.0,0.0,0.0
OKC,0.074,0.192,0.218,0.162,0.125,0.083,0.051,0.037,0.023,0.028,0.005,0.002,0.0,0.0,0.0
LAC,0.024,0.119,0.171,0.169,0.139,0.11,0.095,0.072,0.046,0.03,0.025,0.0,0.0,0.0,0.0
HOU,0.008,0.042,0.068,0.089,0.121,0.132,0.112,0.12,0.108,0.102,0.083,0.014,0.001,0.0,0.0
DAL,0.006,0.025,0.06,0.078,0.101,0.115,0.123,0.137,0.114,0.113,0.102,0.025,0.001,0.0,0.0
LAL,0.005,0.015,0.049,0.093,0.081,0.11,0.126,0.116,0.139,0.126,0.114,0.024,0.002,0.0,0.0
SAC,0.004,0.047,0.083,0.113,0.111,0.129,0.125,0.097,0.112,0.101,0.071,0.007,0.0,0.0,0.0
NOP,0.001,0.009,0.034,0.053,0.076,0.082,0.119,0.128,0.136,0.162,0.157,0.039,0.004,0.0,0.0
PHO,0.0,0.022,0.035,0.053,0.074,0.094,0.119,0.153,0.14,0.141,0.137,0.028,0.004,0.0,0.0
GSW,0.0,0.015,0.022,0.043,0.074,0.093,0.105,0.117,0.15,0.166,0.175,0.038,0.002,0.0,0.0
UTA,0.0,0.0,0.0,0.0,0.001,0.001,0.002,0.007,0.021,0.028,0.115,0.634,0.154,0.031,0.006
MEM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.014,0.154,0.537,0.218,0.075
POR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018,0.161,0.43,0.391
SAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017,0.134,0.321,0.528
