team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
BOS,0.962,0.035,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIN,0.629,0.214,0.109,0.032,0.008,0.005,0.002,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DEN,0.204,0.331,0.239,0.152,0.046,0.015,0.008,0.003,0.002,0.0,0.0,0.0,0.0,0.0,0.0
OKC,0.122,0.269,0.262,0.193,0.081,0.033,0.019,0.011,0.007,0.002,0.0,0.001,0.0,0.0,0.0
LAC,0.041,0.149,0.247,0.273,0.133,0.078,0.037,0.02,0.017,0.004,0.0,0.001,0.0,0.0,0.0
PHI,0.034,0.561,0.204,0.1,0.054,0.023,0.019,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIL,0.003,0.226,0.343,0.174,0.109,0.089,0.038,0.015,0.002,0.001,0.0,0.0,0.0,0.0,0.0
DAL,0.002,0.012,0.02,0.072,0.146,0.168,0.145,0.141,0.112,0.082,0.061,0.037,0.002,0.0,0.0
NYK,0.001,0.055,0.132,0.179,0.191,0.163,0.153,0.087,0.031,0.004,0.002,0.002,0.0,0.0,0.0
SAC,0.001,0.007,0.042,0.071,0.139,0.148,0.139,0.142,0.128,0.098,0.061,0.023,0.001,0.0,0.0
PHO,0.001,0.003,0.015,0.04,0.077,0.1,0.138,0.15,0.156,0.133,0.112,0.068,0.007,0.0,0.0
CLE,0.0,0.054,0.101,0.167,0.177,0.165,0.166,0.123,0.041,0.006,0.0,0.0,0.0,0.0,0.0
IND,0.0,0.036,0.072,0.156,0.172,0.185,0.177,0.151,0.038,0.009,0.003,0.001,0.0,0.0,0.0
ORL,0.0,0.019,0.084,0.119,0.151,0.176,0.176,0.188,0.064,0.02,0.003,0.0,0.0,0.0,0.0
MIA,0.0,0.014,0.061,0.103,0.138,0.174,0.197,0.213,0.074,0.014,0.011,0.001,0.0,0.0,0.0
NOP,0.0,0.013,0.048,0.105,0.187,0.184,0.155,0.114,0.086,0.059,0.038,0.011,0.0,0.0,0.0
HOU,0.0,0.001,0.013,0.036,0.099,0.14,0.157,0.15,0.117,0.126,0.1,0.056,0.005,0.0,0.0
LAL,0.0,0.001,0.004,0.015,0.033,0.058,0.086,0.102,0.127,0.187,0.209,0.161,0.017,0.0,0.0
GSW,0.0,0.0,0.001,0.01,0.031,0.042,0.064,0.092,0.122,0.155,0.2,0.249,0.034,0.0,0.0
BRK,0.0,0.0,0.0,0.002,0.0,0.005,0.022,0.048,0.204,0.257,0.248,0.213,0.001,0.0,0.0
UTA,0.0,0.0,0.0,0.001,0.02,0.029,0.05,0.072,0.124,0.147,0.203,0.323,0.031,0.0,0.0
ATL,0.0,0.0,0.0,0.0,0.005,0.011,0.024,0.089,0.235,0.277,0.207,0.15,0.002,0.0,0.0
TOR,0.0,0.0,0.0,0.0,0.003,0.002,0.008,0.025,0.13,0.191,0.261,0.379,0.001,0.0,0.0
CHI,0.0,0.0,0.0,0.0,0.0,0.007,0.02,0.056,0.181,0.221,0.265,0.249,0.001,0.0,0.0
MEM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.002,0.007,0.016,0.07,0.871,0.029,0.003
CHO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.82,0.143,0.032
WAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.114,0.516,0.37
DET,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.061,0.341,0.598
POR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022,0.601,0.377
SAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.37,0.62
