team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
BOS,0.83,0.14,0.023,0.005,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PHI,0.122,0.539,0.193,0.069,0.044,0.025,0.007,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIL,0.028,0.166,0.316,0.206,0.124,0.085,0.036,0.019,0.01,0.005,0.004,0.001,0.0,0.0,0.0
ORL,0.009,0.062,0.174,0.205,0.178,0.12,0.106,0.056,0.057,0.025,0.006,0.002,0.0,0.0,0.0
CLE,0.005,0.038,0.106,0.163,0.185,0.175,0.138,0.1,0.05,0.03,0.007,0.003,0.0,0.0,0.0
NYK,0.004,0.046,0.117,0.205,0.17,0.159,0.116,0.07,0.064,0.03,0.014,0.005,0.0,0.0,0.0
MIA,0.001,0.007,0.033,0.053,0.11,0.154,0.153,0.178,0.14,0.104,0.045,0.022,0.0,0.0,0.0
IND,0.001,0.002,0.018,0.044,0.091,0.117,0.182,0.167,0.161,0.12,0.065,0.031,0.001,0.0,0.0
BRK,0.0,0.0,0.013,0.031,0.047,0.085,0.103,0.162,0.173,0.168,0.137,0.077,0.004,0.0,0.0
ATL,0.0,0.0,0.007,0.016,0.043,0.055,0.1,0.153,0.176,0.19,0.16,0.091,0.008,0.001,0.0
TOR,0.0,0.0,0.0,0.003,0.002,0.015,0.04,0.061,0.096,0.188,0.291,0.285,0.019,0.0,0.0
CHI,0.0,0.0,0.0,0.0,0.005,0.009,0.019,0.033,0.073,0.139,0.259,0.424,0.036,0.003,0.0
CHO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.011,0.055,0.751,0.148,0.034
WAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.094,0.417,0.488
DET,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.087,0.431,0.478
