team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
MIN,0.608,0.238,0.108,0.031,0.009,0.004,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DEN,0.238,0.351,0.223,0.112,0.045,0.021,0.009,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OKC,0.099,0.226,0.28,0.21,0.099,0.038,0.025,0.009,0.007,0.007,0.0,0.0,0.0,0.0,0.0
LAC,0.046,0.135,0.216,0.236,0.153,0.094,0.056,0.034,0.02,0.007,0.003,0.0,0.0,0.0,0.0
NOP,0.003,0.011,0.03,0.074,0.138,0.129,0.129,0.15,0.125,0.111,0.074,0.026,0.0,0.0,0.0
SAC,0.002,0.017,0.04,0.106,0.157,0.146,0.135,0.123,0.118,0.077,0.062,0.016,0.001,0.0,0.0
DAL,0.002,0.009,0.038,0.084,0.119,0.163,0.166,0.119,0.126,0.087,0.067,0.019,0.001,0.0,0.0
PHO,0.002,0.007,0.024,0.062,0.092,0.12,0.125,0.153,0.151,0.138,0.091,0.032,0.003,0.0,0.0
HOU,0.0,0.005,0.032,0.055,0.102,0.134,0.137,0.147,0.128,0.121,0.085,0.051,0.003,0.0,0.0
GSW,0.0,0.001,0.003,0.014,0.048,0.076,0.117,0.136,0.135,0.176,0.195,0.084,0.015,0.0,0.0
LAL,0.0,0.0,0.006,0.016,0.035,0.072,0.093,0.107,0.152,0.184,0.213,0.114,0.008,0.0,0.0
UTA,0.0,0.0,0.0,0.0,0.003,0.003,0.007,0.02,0.037,0.088,0.185,0.553,0.101,0.003,0.0
MEM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.004,0.025,0.101,0.791,0.072,0.006
POR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.067,0.634,0.296
SAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.01,0.291,0.698
