team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
BOS,0.807,0.15,0.035,0.001,0.005,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PHI,0.15,0.497,0.18,0.094,0.043,0.019,0.012,0.003,0.001,0.001,0.0,0.0,0.0,0.0,0.0
ORL,0.021,0.109,0.191,0.202,0.145,0.12,0.105,0.052,0.036,0.014,0.003,0.002,0.0,0.0,0.0
MIL,0.009,0.112,0.242,0.201,0.145,0.106,0.084,0.051,0.035,0.012,0.003,0.0,0.0,0.0,0.0
IND,0.004,0.033,0.096,0.098,0.132,0.166,0.146,0.124,0.105,0.053,0.032,0.011,0.0,0.0,0.0
CLE,0.003,0.044,0.097,0.112,0.159,0.161,0.146,0.125,0.088,0.043,0.018,0.004,0.0,0.0,0.0
NYK,0.003,0.03,0.088,0.145,0.152,0.145,0.142,0.127,0.087,0.059,0.016,0.005,0.001,0.0,0.0
MIA,0.002,0.015,0.045,0.097,0.115,0.124,0.146,0.147,0.153,0.11,0.033,0.012,0.001,0.0,0.0
BRK,0.001,0.007,0.017,0.035,0.068,0.09,0.114,0.159,0.197,0.166,0.104,0.042,0.0,0.0,0.0
ATL,0.0,0.003,0.008,0.01,0.028,0.045,0.073,0.116,0.152,0.24,0.211,0.098,0.016,0.0,0.0
TOR,0.0,0.0,0.001,0.004,0.006,0.019,0.027,0.078,0.099,0.209,0.301,0.215,0.041,0.0,0.0
CHI,0.0,0.0,0.0,0.001,0.002,0.004,0.004,0.018,0.045,0.081,0.247,0.463,0.123,0.012,0.0
CHO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.012,0.03,0.141,0.673,0.126,0.016
DET,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.005,0.08,0.5,0.414
WAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.002,0.065,0.362,0.57
