,expected_margin
OKC,9.492872
BOS,6.7827263
DAL,5.054526
MIN,5.0119314
NYK,3.6174438
CLE,3.3941498
MEM,3.3570116
DEN,2.988946
HOU,2.8140712
SAC,2.3951037
GSW,2.0662432
ORL,1.667179
MIA,1.6455393
MIL,1.370711
PHO,0.6736782
LAC,-0.093297124
IND,-0.4740001
LAL,-0.6426673
PHI,-0.9066673
ATL,-1.2565532
CHI,-1.6814001
SAS,-2.9251544
DET,-3.2046223
TOR,-3.878458
NOP,-4.547565
BRK,-5.1098394
CHO,-5.7203836
POR,-6.281831
UTA,-6.7219276
WAS,-8.887765
