,rank,team,rating
0,1,BOS,12.59
1,2,PHI,9.3
2,3,MIN,9.12
3,4,DEN,6.25
4,5,NYK,5.18
5,6,DAL,4.05
6,7,ATL,3.52
7,8,GSW,3.39
8,9,TOR,2.24
9,10,IND,1.7
10,11,BRK,1.18
11,12,ORL,1.17
12,13,OKC,0.93
13,14,CLE,0.74
14,15,HOU,0.56
15,16,LAC,-0.02
16,17,MIA,-0.91
17,18,PHO,-1.04
18,19,MIL,-1.95
19,20,SAC,-2.81
20,21,LAL,-3.13
21,22,NOP,-3.53
22,23,SAS,-4.57
23,24,DET,-4.73
24,25,CHI,-4.77
25,26,POR,-4.99
26,27,WAS,-5.66
27,28,CHO,-5.76
28,29,UTA,-7.34
29,30,MEM,-9.17
