rank,team,rating
1,GSW,21.08
2,OKC,17.93
3,BOS,14.45
4,CLE,8.64
5,PHO,6.32
6,NYK,5.83
7,NOP,5.74
8,LAL,5.03
9,ORL,3.8
10,LAC,2.39
11,DAL,0.75
12,MIN,0.39
13,HOU,-0.19
14,SAC,-0.25
15,CHI,-0.98
16,POR,-1.1
17,MEM,-1.41
18,DET,-2.24
19,IND,-2.29
20,DEN,-3.16
21,SAS,-3.7
22,ATL,-3.82
23,CHO,-4.68
24,MIA,-5.73
25,BRK,-6.16
26,UTA,-6.35
27,MIL,-9.59
28,TOR,-13.02
29,WAS,-13.21
30,PHI,-22.55
