,expected_margin
BOS,6.079182
PHI,4.9570017
MIN,4.607357
DEN,4.2627068
NYK,3.2178042
GSW,3.0811534
ATL,2.6634393
DAL,2.3858924
MIL,1.4924898
PHO,1.3867881
CLE,1.183647
HOU,1.111045
OKC,0.8544486
TOR,0.8258498
IND,0.60227793
LAC,0.53463584
BRK,-0.27255803
LAL,-0.7749427
ORL,-0.8104969
MIA,-1.16386
NOP,-1.2215856
SAC,-1.489933
MEM,-2.1102633
CHI,-3.360679
UTA,-4.065406
CHO,-4.3331413
POR,-4.4538064
SAS,-4.7070365
DET,-4.953369
WAS,-5.5286417
