,rank,team,rating
0,1,BOS,5.61
1,2,CLE,4.58
2,3,DEN,3.99
3,4,PHI,3.94
4,5,MIL,3.11
5,6,MEM,2.82
6,7,NYK,2.79
7,8,SAC,1.79
8,9,PHO,1.59
9,10,GSW,1.39
10,11,TOR,1.2
11,12,NOP,1.16
12,13,CHI,1.04
13,14,LAL,0.95
14,15,MIA,0.94
15,16,BRK,0.57
16,17,OKC,0.55
17,18,ATL,0.3
18,19,LAC,-0.14
19,20,MIN,-0.32
20,21,DAL,-0.39
21,22,WAS,-1.12
22,23,UTA,-1.17
23,24,ORL,-2.57
24,25,IND,-3.09
25,26,POR,-3.72
26,27,CHO,-5.95
27,28,HOU,-7.66
28,29,DET,-7.92
29,30,SAS,-9.38
