Rank,Team,Record,EM Rating,Predictive Rating,Projected Record,AdjO,AdjD,Pace,RSOS,Playoffs,Conference Semis,Conference Finals,Finals,Champion
1,Oklahoma City Thunder,22-5,10.89,9.56,60.3-21.7,1.66,9.86,99.61,-0.12,1.0,0.749,0.5,0.321,0.178
2,Boston Celtics,21-6,6.42,6.83,57.8-24.2,7.67,1.11,98.18,-0.22,1.0,0.799,0.567,0.384,0.249
3,Dallas Mavericks,17-10,4.72,5.12,49.9-32.1,4.96,0.08,99.62,0.17,0.948,0.531,0.274,0.143,0.066
4,Minnesota Timberwolves,14-12,2.43,5.09,45.7-36.3,-2.32,5.32,97.78,0.18,0.753,0.426,0.236,0.121,0.058
5,New York Knicks,17-10,4.19,3.67,50.0-32.0,5.91,-0.56,96.91,-0.17,0.986,0.578,0.284,0.132,0.071
6,Cleveland Cavaliers,24-4,6.9,3.57,55.2-26.8,6.27,2.69,100.28,0.1,0.997,0.571,0.278,0.111,0.049
7,Memphis Grizzlies,19-9,5.36,3.43,48.9-33.1,2.18,5.64,104.87,0.73,0.914,0.466,0.224,0.09,0.029
8,Denver Nuggets,14-11,2.98,3.05,46.0-36.0,4.65,-1.93,101.3,0.03,0.773,0.353,0.169,0.086,0.039
9,Houston Rockets,18-9,5.72,2.86,47.5-34.5,0.87,6.07,99.31,0.47,0.838,0.366,0.137,0.044,0.013
10,Sacramento Kings,13-15,0.22,2.45,40.8-41.2,3.12,-1.66,99.04,0.39,0.379,0.165,0.078,0.04,0.015
11,Golden State Warriors,14-12,3.07,2.12,43.5-38.5,0.14,2.84,100.27,-0.0,0.591,0.237,0.102,0.038,0.009
12,Miami Heat,13-12,1.15,1.73,42.9-39.1,1.06,1.26,97.08,-0.55,0.768,0.289,0.125,0.044,0.017
13,Orlando Magic,17-12,2.5,1.7,47.2-34.8,-4.89,7.24,97.16,-0.54,0.956,0.497,0.213,0.095,0.051
14,Milwaukee Bucks,14-12,0.41,1.38,44.7-37.3,0.35,0.8,98.69,-0.2,0.879,0.388,0.166,0.078,0.035
15,Phoenix Suns,14-12,-1.0,0.71,43.7-38.3,3.14,-4.03,97.46,0.32,0.609,0.275,0.118,0.054,0.021
16,Los Angeles Clippers,16-12,2.6,-0.07,42.3-39.7,-0.66,4.78,97.96,0.01,0.473,0.173,0.065,0.023,0.005
17,Indiana Pacers,13-15,-3.0,-0.45,42.6-39.4,0.2,-4.37,100.05,0.03,0.765,0.355,0.176,0.077,0.036
18,Los Angeles Lakers,15-12,-0.89,-0.61,42.7-39.3,-0.9,-2.23,98.59,0.12,0.518,0.194,0.076,0.033,0.017
19,Philadelphia 76ers,9-16,-4.01,-0.68,38.2-43.8,-2.99,-0.81,96.3,0.13,0.446,0.189,0.082,0.041,0.024
20,Atlanta Hawks,14-14,-2.22,-1.25,38.9-43.1,-2.23,-1.1,103.49,-0.02,0.457,0.145,0.047,0.02,0.009
21,Chicago Bulls,13-15,-1.51,-1.67,38.8-43.2,0.86,-2.67,104.23,-0.57,0.478,0.13,0.041,0.012,0.007
22,San Antonio Spurs,14-13,-2.04,-2.92,37.7-44.3,-0.56,-0.81,98.9,0.39,0.19,0.062,0.02,0.006,0.0
23,Detroit Pistons,11-17,-2.9,-3.2,33.1-48.9,-1.81,-1.57,98.6,0.0,0.124,0.03,0.01,0.003,0.001
24,Toronto Raptors,7-21,-3.7,-3.86,28.6-53.4,-1.5,-2.53,99.4,-0.67,0.026,0.006,0.002,0.0,0.0
25,New Orleans Pelicans,5-23,-8.49,-4.53,28.5-53.5,-6.73,-4.67,98.41,0.5,0.007,0.001,0.0,0.0,0.0
26,Brooklyn Nets,11-16,-2.38,-5.1,31.7-50.3,0.0,-3.51,96.81,-0.36,0.093,0.019,0.007,0.002,0.0
27,Portland Trail Blazers,9-18,-4.68,-6.26,28.7-53.3,-4.14,-3.48,99.29,0.15,0.005,0.001,0.0,0.0,0.0
28,Utah Jazz,6-20,-6.4,-6.72,25.2-56.8,-2.95,-5.97,99.32,0.39,0.002,0.001,0.001,0.001,0.001
29,Charlotte Hornets,7-21,-6.19,-7.18,27.1-54.8,-3.85,-2.07,97.19,-0.23,0.022,0.003,0.001,0.0,0.0
30,Washington Wizards,4-21,-10.68,-8.79,21.8-60.2,-7.52,-3.71,102.52,-0.43,0.003,0.001,0.001,0.001,0.0
