team,wins,losses,champion,finals,conference_finals,second_round,playoffs
BOS,58.236,23.764,0.25,0.395,0.569,0.797,1.0
OKC,57.724,23.276,0.223,0.386,0.564,0.795,0.999
NYK,48.765,32.235,0.074,0.138,0.301,0.587,0.976
DAL,49.934,31.066,0.066,0.156,0.333,0.596,0.942
MIN,45.39,36.61,0.05,0.094,0.197,0.403,0.754
CLE,53.488,28.512,0.045,0.103,0.264,0.579,0.997
MEM,48.239,33.761,0.039,0.086,0.184,0.424,0.889
ORL,47.691,33.309,0.033,0.083,0.208,0.448,0.951
MIL,44.331,36.669,0.032,0.088,0.181,0.421,0.874
IND,40.567,41.433,0.031,0.063,0.153,0.302,0.669
DEN,45.507,36.493,0.027,0.071,0.157,0.362,0.764
MIA,43.69,38.31,0.023,0.053,0.119,0.33,0.816
HOU,46.797,34.203,0.022,0.053,0.129,0.341,0.82
PHO,43.251,38.749,0.017,0.04,0.12,0.264,0.577
GSW,45.022,35.978,0.016,0.039,0.115,0.287,0.707
PHI,38.211,43.789,0.012,0.039,0.09,0.201,0.489
SAC,41.991,40.009,0.01,0.034,0.085,0.189,0.487
LAL,41.727,40.273,0.008,0.02,0.062,0.178,0.467
SAS,37.487,44.513,0.005,0.009,0.017,0.049,0.181
ATL,38.483,42.517,0.004,0.014,0.042,0.133,0.479
LAC,41.278,40.722,0.004,0.011,0.036,0.108,0.398
CHI,35.986,46.014,0.003,0.013,0.039,0.091,0.308
DET,34.042,47.958,0.002,0.006,0.015,0.051,0.188
TOR,30.287,51.713,0.002,0.002,0.007,0.018,0.063
BRK,32.488,49.512,0.001,0.002,0.008,0.023,0.132
CHO,29.676,52.324,0.001,0.001,0.004,0.019,0.057
POR,28.398,53.602,0.0,0.001,0.001,0.002,0.006
NOP,29.866,52.134,0.0,0.0,0.0,0.002,0.008
UTA,25.975,56.025,0.0,0.0,0.0,0.0,0.001
WAS,21.473,60.527,0.0,0.0,0.0,0.0,0.001
