team,wins,losses,champion,finals,conference_finals,second_round,playoffs
BOS,59.601,22.399,0.252,0.408,0.59,0.814,1.0
OKC,60.109,21.891,0.228,0.374,0.551,0.773,1.0
NYK,48.759,33.241,0.075,0.138,0.297,0.584,0.971
DAL,50.59,31.41,0.056,0.161,0.336,0.585,0.952
CLE,54.184,27.816,0.047,0.109,0.269,0.561,0.997
MIN,46.33,35.67,0.043,0.082,0.2,0.403,0.79
DEN,46.031,35.969,0.038,0.092,0.174,0.394,0.761
ORL,48.936,33.064,0.037,0.099,0.22,0.513,0.974
MEM,48.616,33.384,0.031,0.072,0.187,0.414,0.892
MIL,45.63,36.37,0.028,0.077,0.188,0.449,0.911
IND,40.623,41.377,0.025,0.054,0.137,0.288,0.655
MIA,43.88,38.12,0.025,0.05,0.12,0.317,0.834
PHO,43.634,38.366,0.021,0.038,0.118,0.264,0.61
HOU,47.862,34.138,0.019,0.053,0.132,0.344,0.84
PHI,38.503,43.497,0.018,0.039,0.095,0.202,0.513
GSW,45.472,36.528,0.017,0.05,0.107,0.294,0.729
SAC,42.388,39.612,0.014,0.043,0.09,0.205,0.475
LAL,41.662,40.338,0.008,0.018,0.053,0.156,0.439
ATL,39.556,42.444,0.005,0.014,0.047,0.135,0.526
LAC,41.046,40.954,0.005,0.013,0.034,0.118,0.358
CHI,35.85,46.15,0.004,0.007,0.018,0.074,0.284
SAS,37.13,44.87,0.002,0.003,0.017,0.048,0.141
BRK,31.49,50.51,0.001,0.002,0.005,0.017,0.111
DET,33.252,48.748,0.001,0.001,0.006,0.029,0.143
TOR,29.559,52.441,0.0,0.001,0.004,0.011,0.044
CHO,28.74,53.26,0.0,0.001,0.004,0.006,0.037
NOP,28.916,53.084,0.0,0.001,0.001,0.002,0.009
POR,27.059,54.941,0.0,0.0,0.0,0.0,0.003
UTA,24.534,57.466,0.0,0.0,0.0,0.0,0.001
WAS,20.058,61.942,0.0,0.0,0.0,0.0,0.0
