team,wins,losses,champion,finals,conference_finals,second_round,playoffs
BOS,57.643,22.357,0.287,0.434,0.591,0.811,1.0
OKC,56.234,23.766,0.222,0.366,0.533,0.752,0.997
MIN,46.48,33.52,0.058,0.122,0.249,0.465,0.841
DAL,46.594,33.406,0.057,0.125,0.232,0.471,0.818
NYK,46.847,33.153,0.056,0.12,0.244,0.531,0.923
CLE,48.154,31.846,0.037,0.09,0.232,0.501,0.947
IND,43.529,36.471,0.033,0.091,0.212,0.422,0.826
PHO,45.152,34.848,0.033,0.082,0.173,0.37,0.752
PHI,42.176,37.824,0.029,0.069,0.165,0.34,0.746
ORL,45.52,34.48,0.025,0.075,0.195,0.436,0.878
MIL,42.743,37.257,0.024,0.055,0.163,0.367,0.786
DEN,41.801,38.199,0.024,0.055,0.129,0.27,0.58
SAC,42.983,37.017,0.02,0.058,0.135,0.317,0.647
HOU,41.082,38.918,0.02,0.028,0.091,0.211,0.503
LAL,43.945,36.055,0.019,0.042,0.133,0.291,0.674
GSW,43.37,36.63,0.014,0.038,0.095,0.26,0.652
MEM,41.521,38.479,0.012,0.036,0.102,0.235,0.539
MIA,41.219,38.781,0.009,0.033,0.086,0.264,0.683
NOP,39.627,40.373,0.009,0.029,0.068,0.169,0.43
DET,29.178,50.822,0.003,0.005,0.009,0.021,0.092
CHI,36.813,43.187,0.002,0.017,0.047,0.131,0.421
LAC,37.948,42.052,0.002,0.01,0.034,0.112,0.313
SAS,35.04,44.96,0.002,0.007,0.022,0.065,0.195
ATL,35.233,44.767,0.001,0.008,0.033,0.094,0.321
TOR,28.614,51.386,0.001,0.002,0.008,0.023,0.096
UTA,28.334,51.666,0.001,0.002,0.004,0.009,0.03
BRK,27.306,52.694,0.0,0.001,0.008,0.016,0.077
CHO,31.26,48.74,0.0,0.0,0.007,0.032,0.156
WAS,25.908,54.092,0.0,0.0,0.0,0.011,0.048
POR,27.746,52.254,0.0,0.0,0.0,0.003,0.029
