team,wins,losses,champion,finals,conference_finals,second_round,playoffs
BOS,58.594,23.406,0.234,0.374,0.55,0.777,1.0
OKC,58.906,23.094,0.183,0.343,0.529,0.766,1.0
NYK,48.869,33.131,0.071,0.14,0.288,0.572,0.981
DAL,51.153,30.847,0.065,0.131,0.286,0.573,0.965
CLE,53.676,28.324,0.051,0.126,0.289,0.577,1.0
MIN,46.699,35.301,0.05,0.104,0.208,0.421,0.825
IND,41.715,40.285,0.041,0.074,0.155,0.327,0.726
DEN,46.238,35.762,0.04,0.086,0.184,0.395,0.764
ORL,47.319,34.681,0.038,0.085,0.215,0.482,0.942
MEM,47.965,34.035,0.038,0.08,0.198,0.406,0.863
MIL,45.512,36.488,0.036,0.082,0.171,0.419,0.894
PHO,44.039,37.961,0.027,0.057,0.119,0.276,0.67
HOU,47.016,34.984,0.024,0.07,0.14,0.354,0.811
GSW,44.541,37.459,0.019,0.043,0.118,0.273,0.669
MIA,44.435,37.565,0.018,0.042,0.134,0.36,0.862
PHI,37.392,44.608,0.017,0.039,0.085,0.179,0.403
LAL,41.733,40.267,0.017,0.033,0.08,0.17,0.435
SAC,42.218,39.782,0.01,0.027,0.074,0.191,0.486
LAC,40.433,41.567,0.008,0.019,0.049,0.122,0.348
ATL,39.509,42.491,0.006,0.017,0.058,0.158,0.523
CHI,36.625,45.375,0.004,0.012,0.029,0.078,0.318
SAS,37.407,44.593,0.002,0.007,0.014,0.052,0.154
TOR,29.732,52.268,0.001,0.005,0.005,0.008,0.049
BRK,31.833,50.167,0.0,0.002,0.007,0.021,0.084
DET,33.474,48.526,0.0,0.001,0.012,0.03,0.168
CHO,28.937,53.063,0.0,0.001,0.002,0.012,0.05
POR,27.703,54.297,0.0,0.0,0.001,0.001,0.005
NOP,28.989,53.011,0.0,0.0,0.0,0.0,0.003
UTA,25.687,56.313,0.0,0.0,0.0,0.0,0.002
WAS,21.651,60.349,0.0,0.0,0.0,0.0,0.0
