team,wins,losses,champion,finals,conference_finals,second_round,playoffs
BOS,59.045,22.955,0.273,0.419,0.574,0.816,1.0
OKC,57.528,23.472,0.25,0.429,0.581,0.797,0.997
DAL,49.883,31.117,0.065,0.136,0.314,0.614,0.945
NYK,49.314,31.686,0.062,0.137,0.287,0.564,0.972
CLE,53.703,28.297,0.048,0.109,0.28,0.566,0.997
ORL,48.974,32.026,0.041,0.099,0.245,0.515,0.978
MIN,45.576,36.424,0.038,0.098,0.209,0.404,0.758
DEN,46.022,35.978,0.032,0.068,0.163,0.391,0.778
IND,40.589,41.411,0.031,0.071,0.144,0.306,0.687
MIL,43.984,37.016,0.03,0.078,0.176,0.422,0.847
MEM,47.113,34.887,0.023,0.067,0.175,0.408,0.832
GSW,45.512,35.488,0.016,0.046,0.13,0.306,0.747
PHO,44.443,37.557,0.015,0.036,0.124,0.279,0.664
PHI,36.518,45.482,0.015,0.029,0.069,0.163,0.401
MIA,42.452,39.548,0.014,0.028,0.11,0.306,0.778
HOU,46.277,34.723,0.013,0.047,0.12,0.329,0.789
SAC,40.628,41.372,0.01,0.027,0.066,0.147,0.367
LAL,41.613,40.387,0.008,0.023,0.057,0.147,0.453
SAS,38.189,43.811,0.006,0.011,0.027,0.06,0.203
CHI,37.783,44.217,0.003,0.015,0.04,0.104,0.431
LAC,41.831,40.169,0.003,0.011,0.032,0.113,0.44
ATL,39.024,41.976,0.002,0.011,0.054,0.148,0.516
TOR,30.492,51.508,0.001,0.001,0.004,0.023,0.079
NOP,30.417,51.583,0.001,0.001,0.002,0.005,0.014
DET,31.86,50.14,0.0,0.002,0.008,0.027,0.123
BRK,32.892,49.108,0.0,0.001,0.005,0.029,0.142
CHO,28.94,53.06,0.0,0.0,0.004,0.011,0.048
POR,29.298,52.702,0.0,0.0,0.0,0.0,0.013
WAS,20.9,61.1,0.0,0.0,0.0,0.0,0.001
UTA,25.2,56.8,0.0,0.0,0.0,0.0,0.0
