team,wins,losses,champion,finals,conference_finals,second_round,playoffs
BOS,55.214,24.786,0.188,0.337,0.497,0.741,0.997
OKC,55.2,24.8,0.177,0.31,0.483,0.726,0.992
NYK,47.281,32.719,0.068,0.132,0.253,0.522,0.931
MIN,44.895,35.105,0.056,0.115,0.217,0.434,0.759
DAL,45.512,34.488,0.054,0.121,0.236,0.455,0.78
IND,43.259,36.741,0.053,0.091,0.211,0.451,0.839
MIL,41.696,38.304,0.05,0.085,0.174,0.35,0.738
CLE,48.668,31.332,0.041,0.096,0.24,0.536,0.962
PHI,41.008,38.992,0.04,0.08,0.174,0.337,0.688
ORL,43.88,36.12,0.04,0.079,0.172,0.398,0.824
SAC,43.662,36.338,0.036,0.072,0.145,0.323,0.697
PHO,44.885,35.115,0.027,0.071,0.161,0.351,0.746
DEN,42.19,37.81,0.026,0.059,0.138,0.306,0.612
MEM,41.129,38.871,0.026,0.056,0.119,0.253,0.536
GSW,44.465,35.535,0.022,0.063,0.154,0.325,0.748
MIA,39.884,40.116,0.021,0.042,0.115,0.246,0.602
LAL,42.864,37.136,0.018,0.045,0.11,0.265,0.63
HOU,41.699,38.301,0.014,0.034,0.106,0.209,0.568
NOP,38.761,41.239,0.012,0.026,0.059,0.154,0.376
ATL,34.451,45.549,0.008,0.015,0.033,0.099,0.289
LAC,36.547,43.453,0.005,0.017,0.039,0.096,0.246
CHI,36.72,43.28,0.004,0.015,0.052,0.13,0.426
SAS,36.454,43.546,0.004,0.009,0.027,0.083,0.244
TOR,29.783,50.217,0.003,0.011,0.022,0.033,0.114
DET,30.001,49.999,0.003,0.006,0.009,0.027,0.103
BRK,32.002,47.998,0.002,0.006,0.018,0.061,0.187
CHO,32.194,47.806,0.002,0.004,0.02,0.043,0.197
UTA,26.885,53.115,0.0,0.002,0.004,0.007,0.016
WAS,29.215,50.785,0.0,0.001,0.01,0.026,0.103
POR,29.596,50.404,0.0,0.0,0.002,0.013,0.05
