team,wins,losses,champion,finals,conference_finals,second_round,playoffs
BOS,56.095,23.905,0.23,0.37,0.573,0.789,0.999
OKC,55.139,24.861,0.206,0.327,0.495,0.714,0.995
NYK,47.251,32.749,0.078,0.133,0.278,0.533,0.963
DAL,48.212,31.788,0.076,0.154,0.285,0.537,0.912
CLE,51.106,28.894,0.047,0.112,0.258,0.553,0.996
MIN,42.185,37.815,0.037,0.074,0.149,0.273,0.59
ORL,47.864,32.136,0.036,0.108,0.214,0.506,0.973
IND,40.54,39.46,0.036,0.082,0.176,0.352,0.743
DEN,44.677,35.323,0.034,0.081,0.167,0.37,0.721
MEM,45.835,34.165,0.033,0.08,0.198,0.42,0.796
MIL,43.073,36.927,0.03,0.069,0.17,0.422,0.846
PHO,43.238,36.762,0.027,0.061,0.136,0.324,0.679
GSW,44.551,35.449,0.024,0.053,0.138,0.32,0.728
MIA,41.019,38.981,0.019,0.04,0.117,0.303,0.761
PHI,35.417,44.583,0.018,0.042,0.073,0.157,0.384
HOU,46.549,33.451,0.017,0.05,0.137,0.34,0.829
LAL,42.627,37.373,0.015,0.048,0.118,0.283,0.603
SAC,38.872,41.128,0.013,0.033,0.07,0.147,0.311
SAS,38.657,41.343,0.007,0.021,0.049,0.103,0.307
ATL,36.936,43.064,0.005,0.018,0.058,0.142,0.437
LAC,41.137,38.863,0.003,0.015,0.048,0.153,0.473
CHI,34.54,45.46,0.003,0.011,0.04,0.096,0.29
BRK,33.287,46.713,0.002,0.007,0.018,0.056,0.225
DET,33.324,46.676,0.001,0.003,0.013,0.049,0.201
CHO,29.997,50.003,0.001,0.003,0.006,0.02,0.09
POR,30.325,49.675,0.001,0.002,0.004,0.009,0.032
NOP,29.625,50.375,0.001,0.001,0.006,0.006,0.019
TOR,30.048,49.952,0.0,0.002,0.006,0.022,0.089
UTA,25.765,54.235,0.0,0.0,0.0,0.001,0.005
WAS,22.109,57.891,0.0,0.0,0.0,0.0,0.003
