team,wins,losses,champion,finals,conference_finals,second_round,playoffs
BOS,54.358,25.642,0.268,0.427,0.593,0.795,0.994
OKC,52.078,27.922,0.202,0.357,0.515,0.732,0.964
DAL,47.294,32.706,0.068,0.153,0.299,0.544,0.849
NYK,46.746,33.254,0.057,0.111,0.266,0.506,0.892
IND,46.815,33.185,0.052,0.121,0.257,0.502,0.897
MIN,45.906,34.094,0.051,0.11,0.245,0.463,0.8
CLE,43.232,36.768,0.04,0.082,0.173,0.387,0.768
DEN,44.091,35.909,0.034,0.076,0.159,0.346,0.71
MIL,44.623,35.377,0.029,0.074,0.19,0.412,0.829
PHI,44.293,35.707,0.029,0.053,0.176,0.413,0.808
PHO,43.575,36.425,0.028,0.057,0.162,0.33,0.69
ORL,44.226,35.774,0.026,0.065,0.157,0.388,0.818
MIA,41.607,38.393,0.023,0.048,0.104,0.28,0.676
SAC,44.07,35.93,0.022,0.05,0.118,0.319,0.711
GSW,42.277,37.723,0.018,0.043,0.107,0.253,0.594
MEM,42.567,37.433,0.013,0.037,0.11,0.26,0.632
NOP,40.235,39.765,0.013,0.035,0.076,0.181,0.446
LAL,41.871,38.129,0.011,0.039,0.093,0.231,0.562
HOU,40.318,39.682,0.006,0.028,0.069,0.186,0.475
CHI,35.684,44.316,0.004,0.011,0.025,0.096,0.354
SAS,36.081,43.919,0.002,0.007,0.023,0.075,0.265
ATL,36.924,43.076,0.002,0.006,0.04,0.12,0.444
LAC,34.872,45.128,0.002,0.005,0.019,0.059,0.202
POR,28.181,51.819,0.0,0.002,0.004,0.01,0.04
DET,30.821,49.179,0.0,0.001,0.009,0.028,0.145
CHO,31.358,48.642,0.0,0.001,0.005,0.033,0.139
UTA,30.272,49.728,0.0,0.001,0.001,0.011,0.06
BRK,27.114,52.886,0.0,0.0,0.003,0.012,0.049
TOR,29.981,50.019,0.0,0.0,0.002,0.022,0.11
WAS,28.53,51.47,0.0,0.0,0.0,0.006,0.077
