team,wins,losses,champion,finals,conference_finals,second_round,playoffs
BOS,57.116,22.884,0.258,0.431,0.593,0.8,1.0
OKC,55.875,24.125,0.237,0.385,0.546,0.783,0.999
DAL,48.913,31.087,0.086,0.173,0.316,0.576,0.937
NYK,47.916,32.084,0.063,0.135,0.291,0.562,0.977
CLE,51.132,28.868,0.048,0.105,0.259,0.572,0.997
ORL,48.484,31.516,0.041,0.091,0.217,0.501,0.979
MIN,42.774,37.226,0.041,0.079,0.162,0.323,0.621
DEN,44.805,35.195,0.034,0.076,0.181,0.38,0.755
MIL,43.382,36.618,0.031,0.074,0.178,0.413,0.856
MEM,45.692,34.308,0.026,0.067,0.175,0.365,0.817
IND,40.57,39.43,0.025,0.066,0.171,0.365,0.743
GSW,45.103,34.897,0.021,0.048,0.128,0.32,0.754
HOU,47.009,32.991,0.019,0.059,0.156,0.395,0.86
PHO,42.928,37.072,0.015,0.047,0.116,0.296,0.613
MIA,40.536,39.464,0.014,0.04,0.112,0.291,0.711
PHI,35.477,44.523,0.013,0.03,0.059,0.141,0.363
SAC,39.182,40.818,0.011,0.024,0.063,0.136,0.343
LAL,41.596,38.404,0.004,0.018,0.078,0.188,0.514
ATL,37.583,42.417,0.004,0.013,0.049,0.141,0.503
LAC,41.106,38.894,0.003,0.012,0.046,0.141,0.461
SAS,38.529,41.471,0.002,0.01,0.029,0.087,0.29
CHI,34.977,45.023,0.002,0.009,0.036,0.109,0.348
DET,32.816,47.184,0.001,0.005,0.014,0.04,0.204
NOP,28.876,51.124,0.001,0.002,0.002,0.007,0.015
TOR,29.938,50.062,0.0,0.001,0.006,0.016,0.088
CHO,29.383,50.617,0.0,0.0,0.008,0.021,0.081
BRK,31.41,48.59,0.0,0.0,0.007,0.027,0.146
POR,30.093,49.907,0.0,0.0,0.002,0.003,0.018
WAS,21.544,58.456,0.0,0.0,0.0,0.001,0.004
UTA,25.255,54.745,0.0,0.0,0.0,0.0,0.003
