team,wins,losses,champion,finals,conference_finals,second_round,playoffs
BOS,57.299,22.701,0.251,0.401,0.584,0.816,1.0
OKC,56.726,23.274,0.217,0.365,0.539,0.753,0.998
DAL,47.306,32.694,0.08,0.147,0.279,0.503,0.859
NYK,46.793,33.207,0.056,0.131,0.276,0.55,0.942
MIN,46.911,33.089,0.054,0.128,0.257,0.473,0.825
IND,45.866,34.134,0.051,0.116,0.246,0.498,0.925
CLE,50.444,29.556,0.032,0.1,0.275,0.571,0.983
MIL,41.761,38.239,0.03,0.065,0.157,0.369,0.791
DEN,44.909,35.091,0.029,0.067,0.162,0.353,0.73
PHO,46.036,33.964,0.026,0.053,0.158,0.369,0.768
PHI,38.874,41.126,0.024,0.051,0.121,0.256,0.595
SAC,44.452,35.548,0.023,0.057,0.139,0.297,0.713
MEM,42.331,37.669,0.022,0.044,0.106,0.243,0.564
ORL,42.353,37.647,0.021,0.067,0.153,0.359,0.791
GSW,46.98,33.02,0.019,0.045,0.133,0.383,0.834
HOU,43.183,36.817,0.019,0.042,0.095,0.256,0.613
MIA,40.498,39.502,0.013,0.038,0.104,0.272,0.705
LAL,40.738,39.262,0.011,0.022,0.062,0.182,0.477
ATL,35.512,44.488,0.006,0.015,0.031,0.092,0.404
SAS,36.497,43.503,0.005,0.013,0.025,0.059,0.202
CHI,32.882,47.118,0.004,0.008,0.022,0.063,0.252
DET,32.217,47.783,0.003,0.006,0.014,0.058,0.223
LAC,36.764,43.236,0.002,0.007,0.019,0.057,0.216
NOP,35.014,44.986,0.001,0.009,0.024,0.061,0.164
CHO,30.555,49.445,0.001,0.001,0.008,0.034,0.146
TOR,28.309,51.691,0.0,0.001,0.003,0.017,0.089
POR,28.546,51.454,0.0,0.001,0.002,0.011,0.03
WAS,25.502,54.498,0.0,0.0,0.004,0.011,0.041
BRK,29.605,50.395,0.0,0.0,0.002,0.034,0.113
UTA,25.137,54.863,0.0,0.0,0.0,0.0,0.007
