team,wins,losses,champion,finals,conference_finals,second_round,playoffs
BOS,57.523,22.477,0.329,0.483,0.641,0.845,0.999
OKC,56.371,23.629,0.234,0.405,0.579,0.779,0.999
DAL,47.712,32.288,0.072,0.155,0.286,0.533,0.896
NYK,47.549,32.451,0.052,0.115,0.294,0.566,0.968
MIL,43.289,36.711,0.04,0.089,0.196,0.449,0.878
MIN,42.433,37.567,0.035,0.086,0.171,0.322,0.599
ORL,47.905,32.095,0.035,0.076,0.22,0.505,0.977
CLE,50.672,29.328,0.034,0.095,0.259,0.545,0.987
MEM,45.439,34.561,0.029,0.073,0.19,0.389,0.775
IND,41.006,38.994,0.028,0.078,0.157,0.359,0.774
DEN,45.485,34.515,0.027,0.08,0.188,0.42,0.801
HOU,46.013,33.987,0.017,0.046,0.125,0.339,0.797
PHO,42.621,37.379,0.017,0.045,0.117,0.286,0.605
GSW,45.687,34.313,0.012,0.038,0.108,0.313,0.801
MIA,41.69,38.31,0.01,0.025,0.11,0.311,0.796
LAL,42.625,37.375,0.009,0.028,0.092,0.234,0.613
SAC,39.815,40.185,0.006,0.028,0.076,0.178,0.407
PHI,34.616,45.384,0.005,0.022,0.056,0.13,0.328
LAC,40.622,39.378,0.002,0.008,0.043,0.124,0.412
SAS,37.747,42.253,0.002,0.007,0.023,0.073,0.252
CHI,34.48,45.52,0.002,0.005,0.016,0.069,0.3
ATL,36.328,43.672,0.001,0.007,0.023,0.114,0.409
DET,33.594,46.406,0.001,0.003,0.009,0.042,0.209
TOR,29.331,50.669,0.001,0.001,0.008,0.016,0.073
BRK,32.752,47.248,0.0,0.001,0.008,0.03,0.207
NOP,29.808,50.192,0.0,0.001,0.001,0.004,0.015
CHO,29.594,50.406,0.0,0.0,0.003,0.018,0.094
POR,30.314,49.686,0.0,0.0,0.001,0.006,0.026
WAS,21.305,58.695,0.0,0.0,0.0,0.001,0.001
UTA,25.674,54.326,0.0,0.0,0.0,0.0,0.002
