team,wins,losses,champion,finals,conference_finals,second_round,playoffs
BOS,56.677,23.323,0.256,0.405,0.563,0.813,1.0
OKC,54.906,25.094,0.227,0.378,0.555,0.771,0.995
DAL,47.246,32.754,0.07,0.14,0.281,0.51,0.865
NYK,47.529,32.471,0.065,0.131,0.282,0.569,0.969
IND,41.899,38.101,0.048,0.099,0.198,0.403,0.796
CLE,52.568,27.432,0.043,0.106,0.284,0.572,0.995
MIN,43.946,36.054,0.034,0.085,0.182,0.395,0.697
GSW,47.871,32.129,0.032,0.065,0.166,0.413,0.882
ORL,45.499,34.501,0.027,0.079,0.186,0.445,0.921
DEN,44.129,35.871,0.027,0.069,0.161,0.334,0.71
LAL,43.151,36.849,0.025,0.044,0.101,0.253,0.619
HOU,46.194,33.806,0.024,0.059,0.127,0.343,0.805
MIL,42.537,37.463,0.022,0.069,0.188,0.405,0.829
SAC,41.184,38.816,0.02,0.037,0.087,0.197,0.49
MEM,43.173,36.827,0.017,0.048,0.132,0.284,0.625
MIA,41.06,38.94,0.015,0.042,0.104,0.287,0.757
PHI,36.511,43.489,0.015,0.036,0.087,0.195,0.471
PHO,42.512,37.488,0.011,0.045,0.122,0.281,0.594
SAS,37.434,42.566,0.007,0.016,0.038,0.086,0.263
LAC,39.859,40.141,0.005,0.009,0.038,0.11,0.377
ATL,34.633,45.367,0.004,0.012,0.037,0.093,0.333
TOR,29.678,50.322,0.003,0.003,0.009,0.021,0.1
DET,33.359,46.641,0.002,0.006,0.012,0.043,0.226
POR,28.855,51.145,0.001,0.001,0.001,0.005,0.017
CHI,34.886,45.114,0.0,0.008,0.033,0.103,0.342
NOP,31.786,48.214,0.0,0.004,0.009,0.017,0.051
CHO,31.698,48.302,0.0,0.003,0.012,0.032,0.151
BRK,29.738,50.262,0.0,0.001,0.004,0.018,0.101
WAS,23.009,56.991,0.0,0.0,0.001,0.001,0.009
UTA,26.473,53.527,0.0,0.0,0.0,0.001,0.01
