team,wins,losses,champion,finals,conference_finals,second_round,playoffs
BOS,58.34,23.66,0.307,0.468,0.618,0.819,1.0
OKC,60.3,21.7,0.261,0.444,0.611,0.804,1.0
DAL,50.414,31.586,0.064,0.146,0.316,0.609,0.958
NYK,50.686,31.314,0.06,0.136,0.314,0.594,0.984
MIN,45.884,36.116,0.05,0.101,0.206,0.418,0.769
CLE,54.553,27.447,0.035,0.103,0.262,0.579,0.996
IND,42.692,39.308,0.033,0.072,0.175,0.37,0.783
MIL,45.732,36.268,0.028,0.076,0.182,0.425,0.882
DEN,46.233,35.767,0.023,0.082,0.182,0.384,0.791
MEM,48.777,33.223,0.021,0.051,0.172,0.428,0.883
ORL,47.574,34.426,0.019,0.05,0.192,0.461,0.942
MIA,43.655,38.345,0.017,0.045,0.11,0.296,0.806
HOU,47.727,34.273,0.016,0.043,0.113,0.338,0.849
PHO,43.363,38.637,0.013,0.039,0.109,0.261,0.572
PHI,37.887,44.113,0.013,0.031,0.079,0.183,0.482
SAC,41.001,40.999,0.012,0.035,0.072,0.151,0.389
GSW,43.621,38.379,0.011,0.026,0.087,0.234,0.608
LAL,43.024,38.976,0.008,0.019,0.075,0.188,0.541
CHI,38.789,43.211,0.004,0.008,0.032,0.112,0.45
ATL,38.456,43.544,0.003,0.009,0.023,0.12,0.441
LAC,42.298,39.702,0.002,0.008,0.037,0.14,0.455
SAS,37.885,44.115,0.0,0.005,0.018,0.042,0.175
DET,32.732,49.268,0.0,0.001,0.006,0.022,0.116
NOP,28.17,53.83,0.0,0.001,0.002,0.003,0.007
TOR,28.047,53.953,0.0,0.001,0.001,0.002,0.022
BRK,31.41,50.59,0.0,0.0,0.005,0.013,0.074
WAS,21.417,60.583,0.0,0.0,0.001,0.001,0.001
CHO,26.57,55.43,0.0,0.0,0.0,0.003,0.021
POR,27.807,54.193,0.0,0.0,0.0,0.0,0.003
UTA,24.956,57.044,0.0,0.0,0.0,0.0,0.0
