team,wins,losses,champion,finals,conference_finals,second_round,playoffs
BOS,56.065,23.935,0.333,0.484,0.664,0.856,0.999
OKC,56.414,23.586,0.264,0.455,0.62,0.824,0.995
DAL,47.088,32.912,0.055,0.121,0.285,0.524,0.864
NYK,46.176,33.824,0.054,0.108,0.24,0.557,0.939
MIN,45.574,34.426,0.042,0.104,0.232,0.411,0.787
CLE,49.986,30.014,0.039,0.094,0.271,0.569,0.982
IND,45.97,34.03,0.038,0.107,0.241,0.503,0.911
DEN,44.634,35.366,0.033,0.075,0.157,0.362,0.717
ORL,42.131,37.869,0.025,0.06,0.149,0.371,0.794
PHO,45.514,34.486,0.018,0.058,0.172,0.397,0.781
MIL,40.331,39.669,0.016,0.054,0.141,0.322,0.714
PHI,39.026,40.974,0.015,0.04,0.107,0.273,0.624
GSW,46.655,33.345,0.014,0.049,0.137,0.351,0.817
SAC,44.159,35.841,0.012,0.038,0.119,0.301,0.698
MIA,40.611,39.389,0.01,0.03,0.094,0.262,0.703
LAL,40.462,39.538,0.009,0.024,0.06,0.167,0.449
HOU,42.701,37.299,0.007,0.023,0.059,0.234,0.615
MEM,42.159,37.841,0.006,0.036,0.102,0.237,0.589
ATL,35.214,44.786,0.003,0.01,0.026,0.098,0.358
NOP,35.768,44.232,0.003,0.007,0.018,0.059,0.193
LAC,36.969,43.031,0.002,0.007,0.026,0.068,0.246
DET,32.338,47.662,0.002,0.006,0.013,0.035,0.205
SAS,35.443,44.557,0.0,0.003,0.012,0.053,0.187
CHI,33.986,46.014,0.0,0.002,0.019,0.067,0.298
CHO,31.114,48.886,0.0,0.002,0.013,0.03,0.158
BRK,30.39,49.61,0.0,0.002,0.006,0.017,0.133
WAS,26.921,53.079,0.0,0.001,0.004,0.017,0.075
TOR,29.258,50.742,0.0,0.0,0.012,0.023,0.107
POR,30.24,49.76,0.0,0.0,0.001,0.01,0.047
UTA,26.703,53.297,0.0,0.0,0.0,0.002,0.015
