team,wins,losses,champion,finals,conference_finals,second_round,playoffs
BOS,56.176,23.824,0.259,0.432,0.59,0.815,0.998
OKC,56.85,23.15,0.215,0.369,0.551,0.763,0.996
NYK,47.067,32.933,0.086,0.152,0.297,0.548,0.946
MIN,46.762,33.238,0.058,0.122,0.218,0.427,0.839
DAL,46.07,33.93,0.05,0.112,0.231,0.438,0.802
IND,43.839,36.161,0.043,0.09,0.214,0.464,0.873
CLE,50.873,29.127,0.032,0.091,0.291,0.578,0.992
PHO,46.708,33.292,0.032,0.078,0.18,0.408,0.809
DEN,45.354,34.646,0.029,0.065,0.175,0.401,0.764
SAC,43.164,36.836,0.026,0.068,0.145,0.296,0.644
MIL,40.893,39.107,0.026,0.065,0.147,0.361,0.75
ORL,42.755,37.245,0.024,0.058,0.151,0.381,0.831
GSW,45.57,34.43,0.02,0.049,0.151,0.353,0.769
PHI,38.023,41.977,0.018,0.044,0.1,0.23,0.569
MEM,43.242,36.758,0.016,0.044,0.124,0.282,0.638
HOU,42.585,37.415,0.014,0.04,0.094,0.231,0.58
LAL,41.276,38.724,0.014,0.034,0.074,0.203,0.498
MIA,39.983,40.017,0.011,0.033,0.097,0.262,0.677
CHI,34.765,45.235,0.009,0.014,0.033,0.101,0.317
ATL,33.81,46.19,0.005,0.011,0.028,0.082,0.273
LAC,38.616,41.384,0.003,0.005,0.024,0.084,0.318
SAS,35.61,44.39,0.002,0.008,0.019,0.063,0.188
NOP,33.971,46.029,0.002,0.006,0.014,0.043,0.117
CHO,32.777,47.223,0.002,0.004,0.021,0.061,0.242
DET,33.268,46.732,0.002,0.003,0.015,0.049,0.238
TOR,28.844,51.156,0.001,0.002,0.007,0.024,0.104
BRK,31.232,48.768,0.001,0.001,0.005,0.033,0.155
WAS,25.501,54.499,0.0,0.0,0.004,0.011,0.035
POR,28.389,51.611,0.0,0.0,0.0,0.006,0.028
UTA,26.027,53.973,0.0,0.0,0.0,0.002,0.01
