team,wins,losses,champion,finals,conference_finals,second_round,playoffs
BOS,55.693,24.307,0.285,0.451,0.622,0.822,0.997
OKC,53.711,26.289,0.218,0.393,0.564,0.766,0.977
DAL,47.287,32.713,0.07,0.13,0.279,0.507,0.85
IND,47.94,32.06,0.059,0.125,0.282,0.548,0.93
NYK,45.744,34.256,0.059,0.11,0.238,0.491,0.884
MIN,45.946,34.054,0.053,0.109,0.217,0.434,0.795
CLE,45.838,34.162,0.036,0.079,0.199,0.452,0.869
ORL,46.208,33.792,0.029,0.074,0.19,0.429,0.88
MIL,46.281,33.719,0.028,0.063,0.177,0.423,0.897
PHI,42.998,37.002,0.027,0.066,0.163,0.354,0.776
PHO,44.559,35.441,0.026,0.067,0.172,0.353,0.721
DEN,44.024,35.976,0.025,0.068,0.158,0.333,0.692
SAC,44.425,35.575,0.022,0.054,0.146,0.328,0.718
MEM,42.973,37.027,0.018,0.051,0.116,0.279,0.623
LAL,42.554,37.446,0.011,0.036,0.096,0.25,0.585
NOP,41.387,38.613,0.008,0.03,0.068,0.201,0.509
HOU,39.171,40.829,0.007,0.022,0.061,0.166,0.409
GSW,43.719,36.281,0.005,0.026,0.08,0.242,0.66
MIA,39.202,40.798,0.005,0.016,0.07,0.212,0.554
SAS,35.686,44.314,0.002,0.009,0.027,0.079,0.232
ATL,37.038,42.962,0.002,0.007,0.027,0.1,0.444
CHI,34.263,45.737,0.002,0.006,0.02,0.077,0.295
LAC,34.135,45.865,0.002,0.004,0.012,0.046,0.167
CHO,32.322,47.678,0.001,0.002,0.005,0.033,0.187
TOR,27.753,52.247,0.0,0.001,0.004,0.016,0.072
UTA,29.644,50.356,0.0,0.001,0.004,0.013,0.048
DET,29.588,50.412,0.0,0.0,0.002,0.021,0.106
WAS,27.4,52.6,0.0,0.0,0.001,0.011,0.064
BRK,26.611,53.389,0.0,0.0,0.0,0.011,0.045
POR,25.9,54.1,0.0,0.0,0.0,0.003,0.014
