team,wins,losses,champion,finals,conference_finals,second_round,playoffs
BOS,56.309,23.691,0.254,0.401,0.588,0.809,1.0
OKC,56.608,23.392,0.215,0.359,0.525,0.75,0.999
MIN,46.81,33.19,0.062,0.12,0.23,0.474,0.848
NYK,46.787,33.213,0.059,0.123,0.271,0.523,0.935
IND,44.025,35.975,0.055,0.106,0.23,0.486,0.884
DAL,46.196,33.804,0.052,0.113,0.235,0.453,0.807
CLE,50.731,29.269,0.044,0.113,0.252,0.554,0.985
ORL,42.68,37.32,0.031,0.066,0.163,0.395,0.812
MIL,40.398,39.602,0.031,0.064,0.149,0.323,0.731
MEM,43.118,36.882,0.03,0.058,0.122,0.286,0.627
DEN,45.524,34.476,0.026,0.074,0.177,0.365,0.759
PHO,46.656,33.344,0.026,0.07,0.18,0.407,0.825
PHI,38.072,41.928,0.025,0.058,0.139,0.269,0.58
SAC,43.152,36.848,0.024,0.051,0.12,0.306,0.625
MIA,39.62,40.38,0.014,0.032,0.088,0.255,0.653
GSW,45.658,34.342,0.013,0.055,0.141,0.319,0.763
HOU,42.398,37.602,0.011,0.042,0.116,0.252,0.597
LAL,41.357,38.643,0.01,0.031,0.075,0.17,0.488
ATL,33.831,46.169,0.004,0.013,0.027,0.076,0.299
NOP,34.36,45.64,0.003,0.01,0.023,0.048,0.129
CHI,34.686,45.314,0.003,0.007,0.034,0.11,0.334
BRK,31.116,48.884,0.003,0.003,0.007,0.034,0.162
LAC,38.852,41.148,0.002,0.011,0.029,0.101,0.333
CHO,32.664,47.336,0.002,0.005,0.018,0.068,0.236
DET,33.146,46.854,0.001,0.006,0.018,0.063,0.251
SAS,35.735,44.265,0.0,0.005,0.025,0.064,0.17
TOR,28.891,51.109,0.0,0.002,0.013,0.025,0.1
WAS,25.562,54.438,0.0,0.001,0.003,0.01,0.038
POR,28.379,51.621,0.0,0.001,0.001,0.003,0.016
UTA,26.679,53.321,0.0,0.0,0.001,0.002,0.014
