team,wins,losses,champion,finals,conference_finals,second_round,playoffs
BOS,59.449,22.551,0.28,0.428,0.589,0.803,1.0
OKC,59.811,22.189,0.225,0.391,0.534,0.769,1.0
DAL,51.103,30.897,0.063,0.147,0.319,0.592,0.96
NYK,49.307,32.693,0.06,0.123,0.299,0.58,0.968
MIN,47.109,34.891,0.046,0.102,0.213,0.445,0.849
CLE,54.457,27.543,0.044,0.108,0.263,0.554,0.999
ORL,47.866,34.134,0.038,0.085,0.186,0.476,0.959
MIL,45.558,36.442,0.03,0.075,0.178,0.417,0.901
IND,42.066,39.934,0.029,0.077,0.166,0.351,0.754
DEN,47.175,34.825,0.028,0.062,0.178,0.422,0.827
PHO,43.844,38.156,0.027,0.054,0.12,0.254,0.61
MEM,48.271,33.729,0.026,0.073,0.186,0.436,0.877
HOU,47.137,34.863,0.018,0.055,0.153,0.344,0.811
SAC,42.006,39.994,0.017,0.042,0.095,0.186,0.451
GSW,44.436,37.564,0.017,0.034,0.095,0.244,0.653
MIA,44.002,37.998,0.015,0.038,0.132,0.351,0.839
PHI,38.167,43.833,0.013,0.042,0.097,0.183,0.457
LAL,42.238,39.762,0.009,0.017,0.054,0.153,0.475
CHI,37.419,44.581,0.005,0.013,0.032,0.092,0.363
ATL,39.284,42.716,0.005,0.008,0.047,0.135,0.485
SAS,37.069,44.931,0.003,0.012,0.021,0.046,0.138
LAC,40.667,41.333,0.001,0.011,0.032,0.109,0.345
TOR,28.935,53.065,0.001,0.001,0.002,0.007,0.027
DET,33.789,48.211,0.0,0.002,0.006,0.032,0.169
CHO,27.905,54.095,0.0,0.0,0.003,0.009,0.022
BRK,30.595,51.405,0.0,0.0,0.0,0.01,0.057
NOP,28.715,53.285,0.0,0.0,0.0,0.0,0.002
POR,27.343,54.657,0.0,0.0,0.0,0.0,0.001
UTA,23.686,58.314,0.0,0.0,0.0,0.0,0.001
WAS,20.591,61.409,0.0,0.0,0.0,0.0,0.0
