team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
BOS,0.639,0.206,0.085,0.033,0.023,0.008,0.005,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CLE,0.141,0.251,0.186,0.139,0.1,0.075,0.046,0.026,0.014,0.014,0.004,0.002,0.002,0.0,0.0
NYK,0.095,0.2,0.194,0.137,0.124,0.104,0.05,0.025,0.037,0.019,0.005,0.006,0.002,0.001,0.001
ORL,0.042,0.093,0.136,0.14,0.129,0.127,0.097,0.077,0.067,0.041,0.023,0.012,0.007,0.006,0.003
IND,0.03,0.092,0.134,0.15,0.14,0.112,0.101,0.084,0.057,0.043,0.028,0.017,0.003,0.005,0.004
PHI,0.021,0.053,0.084,0.1,0.115,0.117,0.104,0.107,0.089,0.072,0.066,0.043,0.014,0.012,0.003
MIL,0.015,0.037,0.072,0.1,0.112,0.129,0.121,0.126,0.082,0.078,0.062,0.031,0.017,0.015,0.003
MIA,0.014,0.04,0.046,0.079,0.08,0.115,0.117,0.129,0.11,0.083,0.07,0.054,0.035,0.022,0.006
CHI,0.002,0.011,0.03,0.044,0.056,0.077,0.104,0.097,0.112,0.106,0.097,0.096,0.076,0.063,0.029
ATL,0.001,0.008,0.012,0.025,0.037,0.038,0.082,0.095,0.104,0.105,0.115,0.11,0.124,0.09,0.054
CHO,0.0,0.005,0.005,0.022,0.029,0.026,0.049,0.058,0.079,0.115,0.105,0.133,0.141,0.131,0.102
WAS,0.0,0.002,0.002,0.008,0.013,0.018,0.035,0.038,0.054,0.059,0.085,0.114,0.155,0.181,0.236
BRK,0.0,0.001,0.008,0.013,0.019,0.027,0.037,0.056,0.077,0.088,0.122,0.148,0.142,0.127,0.135
TOR,0.0,0.001,0.003,0.007,0.011,0.015,0.021,0.043,0.048,0.081,0.12,0.1,0.141,0.172,0.237
DET,0.0,0.0,0.003,0.003,0.012,0.012,0.031,0.038,0.07,0.096,0.098,0.134,0.141,0.175,0.187
