team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
OKC,0.663,0.182,0.068,0.038,0.027,0.013,0.005,0.002,0.002,0.0,0.0,0.0,0.0,0.0,0.0
BOS,0.66,0.24,0.069,0.02,0.007,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CLE,0.246,0.41,0.185,0.085,0.036,0.025,0.007,0.003,0.002,0.001,0.0,0.0,0.0,0.0,0.0
GSW,0.079,0.217,0.169,0.119,0.112,0.088,0.071,0.055,0.025,0.033,0.019,0.009,0.003,0.001,0.0
NYK,0.065,0.164,0.275,0.214,0.135,0.065,0.043,0.018,0.01,0.006,0.004,0.001,0.0,0.0,0.0
DAL,0.063,0.143,0.165,0.123,0.105,0.079,0.084,0.075,0.062,0.053,0.021,0.015,0.009,0.003,0.0
DEN,0.049,0.095,0.106,0.103,0.11,0.098,0.105,0.08,0.082,0.06,0.056,0.027,0.02,0.009,0.0
HOU,0.04,0.103,0.101,0.13,0.118,0.088,0.093,0.077,0.095,0.065,0.058,0.019,0.01,0.003,0.0
LAL,0.026,0.048,0.081,0.093,0.091,0.128,0.11,0.103,0.092,0.082,0.07,0.042,0.022,0.01,0.002
PHO,0.023,0.034,0.069,0.096,0.092,0.086,0.084,0.118,0.108,0.116,0.078,0.061,0.024,0.008,0.003
MIN,0.021,0.077,0.073,0.093,0.103,0.106,0.091,0.122,0.091,0.083,0.069,0.045,0.021,0.005,0.0
ORL,0.02,0.088,0.212,0.215,0.192,0.126,0.07,0.04,0.019,0.008,0.005,0.002,0.003,0.0,0.0
MEM,0.019,0.051,0.084,0.096,0.09,0.094,0.113,0.091,0.114,0.081,0.074,0.049,0.034,0.008,0.002
SAC,0.016,0.038,0.055,0.062,0.079,0.1,0.103,0.091,0.105,0.098,0.11,0.08,0.039,0.02,0.004
IND,0.004,0.039,0.088,0.155,0.181,0.142,0.146,0.091,0.065,0.044,0.025,0.015,0.005,0.0,0.0
MIL,0.002,0.03,0.072,0.121,0.158,0.178,0.126,0.123,0.084,0.044,0.03,0.02,0.007,0.005,0.0
MIA,0.002,0.023,0.064,0.111,0.126,0.189,0.148,0.107,0.092,0.06,0.04,0.026,0.007,0.005,0.0
LAC,0.001,0.008,0.017,0.036,0.042,0.07,0.073,0.083,0.098,0.107,0.143,0.163,0.088,0.047,0.024
PHI,0.001,0.001,0.011,0.017,0.045,0.06,0.105,0.132,0.144,0.137,0.136,0.092,0.068,0.042,0.009
SAS,0.0,0.004,0.011,0.01,0.022,0.038,0.049,0.07,0.072,0.13,0.165,0.172,0.145,0.086,0.026
ATL,0.0,0.003,0.011,0.026,0.039,0.063,0.11,0.119,0.135,0.129,0.104,0.085,0.099,0.063,0.014
CHI,0.0,0.001,0.004,0.007,0.028,0.058,0.072,0.099,0.111,0.135,0.123,0.141,0.113,0.074,0.034
BRK,0.0,0.001,0.002,0.007,0.015,0.024,0.037,0.056,0.087,0.081,0.114,0.148,0.164,0.162,0.102
DET,0.0,0.0,0.005,0.015,0.014,0.029,0.066,0.097,0.117,0.14,0.16,0.123,0.12,0.088,0.026
CHO,0.0,0.0,0.001,0.006,0.018,0.024,0.052,0.07,0.081,0.103,0.122,0.154,0.157,0.146,0.066
TOR,0.0,0.0,0.001,0.001,0.006,0.012,0.016,0.04,0.048,0.097,0.109,0.15,0.169,0.225,0.126
NOP,0.0,0.0,0.001,0.001,0.006,0.008,0.01,0.016,0.029,0.059,0.069,0.167,0.261,0.247,0.126
POR,0.0,0.0,0.0,0.0,0.003,0.004,0.007,0.013,0.021,0.026,0.049,0.103,0.193,0.313,0.268
WAS,0.0,0.0,0.0,0.0,0.0,0.001,0.002,0.005,0.005,0.015,0.028,0.043,0.088,0.19,0.623
UTA,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.004,0.004,0.007,0.019,0.048,0.131,0.24,0.545
