team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
OKC,0.677,0.165,0.078,0.037,0.015,0.012,0.006,0.005,0.001,0.002,0.002,0.0,0.0,0.0,0.0
DAL,0.074,0.158,0.193,0.129,0.102,0.09,0.075,0.058,0.052,0.034,0.017,0.011,0.005,0.002,0.0
GSW,0.072,0.174,0.158,0.132,0.101,0.089,0.083,0.065,0.048,0.035,0.022,0.016,0.002,0.002,0.001
DEN,0.051,0.117,0.108,0.126,0.12,0.117,0.092,0.073,0.062,0.061,0.041,0.018,0.008,0.005,0.001
HOU,0.042,0.091,0.087,0.105,0.13,0.088,0.108,0.092,0.083,0.07,0.052,0.036,0.012,0.002,0.002
MEM,0.026,0.066,0.085,0.097,0.103,0.111,0.105,0.088,0.085,0.082,0.082,0.043,0.017,0.01,0.0
MIN,0.023,0.073,0.084,0.094,0.099,0.095,0.111,0.095,0.087,0.101,0.055,0.055,0.024,0.003,0.001
PHO,0.012,0.058,0.07,0.091,0.096,0.115,0.088,0.084,0.101,0.089,0.091,0.054,0.038,0.013,0.0
LAL,0.011,0.041,0.056,0.065,0.078,0.089,0.085,0.107,0.124,0.097,0.099,0.081,0.045,0.017,0.005
SAC,0.009,0.034,0.045,0.062,0.066,0.076,0.105,0.111,0.116,0.102,0.105,0.095,0.048,0.026,0.0
SAS,0.002,0.008,0.012,0.018,0.028,0.045,0.054,0.084,0.094,0.113,0.164,0.169,0.113,0.082,0.014
LAC,0.001,0.014,0.024,0.04,0.053,0.062,0.074,0.116,0.101,0.134,0.137,0.123,0.078,0.035,0.008
NOP,0.0,0.001,0.0,0.003,0.002,0.003,0.004,0.007,0.023,0.045,0.065,0.143,0.259,0.279,0.166
UTA,0.0,0.0,0.0,0.001,0.002,0.002,0.001,0.001,0.001,0.008,0.016,0.053,0.15,0.239,0.526
POR,0.0,0.0,0.0,0.0,0.005,0.006,0.009,0.014,0.022,0.027,0.052,0.103,0.201,0.285,0.276
