team,wins,losses,champion,finals,conference_finals,second_round,playoffs
BOS,63.611,18.389,0.243,0.345,0.513,0.758,1.0
DEN,57.255,24.745,0.116,0.238,0.385,0.599,1.0
MIL,49.952,32.048,0.111,0.202,0.413,0.634,1.0
PHO,47.905,34.095,0.073,0.159,0.277,0.46,0.845
OKC,56.074,25.926,0.058,0.109,0.24,0.467,1.0
CLE,48.428,33.572,0.057,0.117,0.243,0.589,1.0
MIN,56.276,25.724,0.053,0.115,0.257,0.511,1.0
NYK,49.414,32.586,0.044,0.109,0.261,0.614,1.0
DAL,51.327,30.673,0.043,0.099,0.232,0.53,1.0
PHI,46.36,35.64,0.042,0.092,0.193,0.389,0.92
LAC,52.409,29.591,0.031,0.079,0.191,0.466,1.0
NOP,48.975,33.025,0.03,0.087,0.187,0.476,0.976
IND,47.032,34.968,0.025,0.058,0.136,0.37,0.961
GSW,46.409,35.591,0.022,0.064,0.122,0.238,0.525
SAC,46.275,35.725,0.017,0.028,0.06,0.148,0.39
ORL,46.838,35.162,0.012,0.04,0.108,0.289,0.925
MIA,45.404,36.596,0.009,0.027,0.111,0.28,0.823
LAL,45.911,36.089,0.009,0.022,0.049,0.105,0.264
CHI,38.908,43.092,0.003,0.005,0.012,0.047,0.229
ATL,36.646,45.354,0.002,0.005,0.01,0.03,0.142
HOU,40.005,41.995,0.0,0.0,0.0,0.0,0.0
BRK,32.571,49.429,0.0,0.0,0.0,0.0,0.0
UTA,30.472,51.528,0.0,0.0,0.0,0.0,0.0
MEM,27.867,54.133,0.0,0.0,0.0,0.0,0.0
TOR,25.596,56.404,0.0,0.0,0.0,0.0,0.0
POR,21.612,60.388,0.0,0.0,0.0,0.0,0.0
SAS,20.926,61.074,0.0,0.0,0.0,0.0,0.0
CHO,20.41,61.59,0.0,0.0,0.0,0.0,0.0
WAS,15.575,66.425,0.0,0.0,0.0,0.0,0.0
DET,13.557,68.443,0.0,0.0,0.0,0.0,0.0
