team,wins,losses,champion,finals,conference_finals,second_round,playoffs
BOS,55.609,26.391,0.245,0.344,0.5,0.76,1.0
DEN,55.988,26.012,0.188,0.342,0.506,0.751,1.0
MIL,56.732,25.268,0.124,0.208,0.382,0.697,1.0
CLE,50.286,31.714,0.104,0.169,0.336,0.653,1.0
MEM,49.723,32.277,0.088,0.228,0.421,0.687,1.0
PHI,51.067,30.933,0.07,0.125,0.303,0.605,1.0
PHO,45.833,36.167,0.027,0.089,0.22,0.543,0.98
LAC,42.483,39.517,0.026,0.082,0.161,0.327,0.73
GSW,43.038,38.962,0.024,0.073,0.176,0.38,0.793
BRK,46.672,35.328,0.022,0.054,0.166,0.405,0.979
SAC,46.295,35.705,0.018,0.07,0.18,0.425,0.982
NYK,48.007,33.993,0.018,0.041,0.117,0.344,0.992
DAL,42.501,39.499,0.012,0.044,0.124,0.312,0.765
MIN,42.018,39.982,0.008,0.035,0.102,0.244,0.662
ATL,41.372,40.628,0.008,0.017,0.055,0.132,0.522
NOP,40.936,41.064,0.006,0.024,0.053,0.16,0.461
MIA,42.957,39.043,0.006,0.022,0.07,0.197,0.736
CHI,37.432,44.568,0.003,0.003,0.009,0.02,0.065
LAL,40.178,41.822,0.002,0.008,0.031,0.085,0.301
TOR,40.528,41.472,0.001,0.01,0.035,0.108,0.379
WAS,40.033,41.967,0.0,0.007,0.026,0.077,0.31
POR,38.361,43.639,0.0,0.002,0.012,0.034,0.108
OKC,38.421,43.579,0.0,0.002,0.01,0.031,0.118
UTA,38.651,43.349,0.0,0.001,0.004,0.021,0.1
IND,36.42,45.58,0.0,0.0,0.001,0.002,0.017
ORL,33.728,48.272,0.0,0.0,0.0,0.0,0.0
CHO,25.346,56.654,0.0,0.0,0.0,0.0,0.0
DET,20.305,61.695,0.0,0.0,0.0,0.0,0.0
HOU,19.563,62.437,0.0,0.0,0.0,0.0,0.0
SAS,19.517,62.483,0.0,0.0,0.0,0.0,0.0
