team,wins,losses,champion,finals,conference_finals,second_round,playoffs
BOS,55.548,24.452,0.317,0.455,0.671,0.837,0.998
PHI,52.959,27.041,0.185,0.283,0.518,0.767,0.996
DEN,52.989,27.011,0.153,0.31,0.499,0.744,0.993
MIN,50.591,29.409,0.095,0.209,0.386,0.643,0.98
GSW,48.233,31.767,0.053,0.15,0.284,0.546,0.948
PHO,45.606,34.394,0.053,0.123,0.236,0.492,0.865
NYK,44.819,35.181,0.029,0.071,0.177,0.455,0.847
LAC,45.162,34.838,0.023,0.074,0.188,0.427,0.849
ATL,45.13,34.87,0.019,0.047,0.127,0.375,0.855
MIL,44.224,35.776,0.017,0.053,0.148,0.39,0.819
DAL,45.316,34.684,0.014,0.047,0.131,0.357,0.834
CLE,41.865,38.135,0.012,0.032,0.112,0.286,0.685
IND,42.513,37.487,0.009,0.025,0.087,0.259,0.712
OKC,43.561,36.439,0.006,0.037,0.104,0.289,0.769
MIA,39.972,40.028,0.005,0.012,0.042,0.16,0.538
HOU,39.742,40.258,0.003,0.022,0.065,0.163,0.507
SAC,37.661,42.339,0.003,0.015,0.043,0.116,0.38
TOR,39.127,40.873,0.002,0.008,0.033,0.157,0.469
ORL,39.826,40.174,0.001,0.01,0.05,0.18,0.516
NOP,37.843,42.157,0.001,0.007,0.031,0.102,0.349
LAL,37.399,42.601,0.0,0.005,0.028,0.09,0.348
BRK,38.308,41.692,0.0,0.004,0.031,0.116,0.401
MEM,32.0,48.0,0.0,0.001,0.004,0.024,0.107
CHI,31.949,48.051,0.0,0.0,0.003,0.011,0.091
POR,29.137,50.863,0.0,0.0,0.001,0.005,0.038
CHO,27.818,52.182,0.0,0.0,0.001,0.004,0.032
DET,28.759,51.241,0.0,0.0,0.0,0.003,0.026
UTA,28.628,51.372,0.0,0.0,0.0,0.002,0.02
WAS,26.599,53.401,0.0,0.0,0.0,0.0,0.015
SAS,26.716,53.284,0.0,0.0,0.0,0.0,0.013
