team,wins,losses,champion,finals,conference_finals,second_round,playoffs
BOS,63.74,18.26,0.266,0.385,0.571,0.795,1.0
DEN,56.296,25.704,0.12,0.245,0.388,0.643,1.0
MIL,52.015,29.985,0.101,0.193,0.388,0.676,1.0
CLE,50.997,31.003,0.084,0.161,0.343,0.643,1.0
OKC,55.203,26.797,0.066,0.142,0.283,0.549,1.0
MIN,55.033,26.967,0.064,0.138,0.261,0.569,1.0
PHO,46.394,35.606,0.055,0.132,0.243,0.396,0.764
LAC,50.665,31.335,0.039,0.099,0.233,0.506,0.986
NOP,49.973,32.027,0.035,0.084,0.211,0.465,0.979
PHI,45.302,36.698,0.03,0.065,0.173,0.384,0.9
NYK,48.78,33.22,0.028,0.072,0.189,0.499,0.989
ORL,47.51,34.49,0.02,0.039,0.106,0.354,0.964
IND,44.78,37.22,0.019,0.041,0.093,0.285,0.861
DAL,47.029,34.971,0.018,0.056,0.139,0.31,0.781
SAC,47.074,34.926,0.018,0.055,0.117,0.308,0.794
MIA,44.45,37.55,0.016,0.034,0.106,0.28,0.834
GSW,43.395,38.605,0.008,0.025,0.063,0.135,0.35
LAL,43.498,38.502,0.005,0.019,0.054,0.101,0.289
ATL,36.497,45.503,0.004,0.004,0.011,0.033,0.164
CHI,40.245,41.755,0.002,0.006,0.019,0.048,0.276
HOU,40.325,41.675,0.002,0.005,0.008,0.018,0.057
BRK,32.069,49.931,0.0,0.0,0.001,0.003,0.011
TOR,28.948,53.052,0.0,0.0,0.0,0.0,0.001
UTA,34.282,47.718,0.0,0.0,0.0,0.0,0.0
MEM,28.656,53.344,0.0,0.0,0.0,0.0,0.0
POR,23.899,58.101,0.0,0.0,0.0,0.0,0.0
CHO,21.381,60.619,0.0,0.0,0.0,0.0,0.0
SAS,19.78,62.22,0.0,0.0,0.0,0.0,0.0
DET,16.561,65.439,0.0,0.0,0.0,0.0,0.0
WAS,15.223,66.777,0.0,0.0,0.0,0.0,0.0
