team,wins,losses,champion,finals,conference_finals,second_round,playoffs
BOS,56.733,25.267,0.335,0.424,0.589,0.819,1.0
DEN,53.98,28.02,0.113,0.293,0.454,0.704,1.0
MEM,51.461,30.539,0.111,0.249,0.442,0.682,1.0
MIL,57.94,24.06,0.1,0.163,0.375,0.697,1.0
PHI,53.571,28.429,0.098,0.165,0.321,0.682,1.0
CLE,50.715,31.285,0.092,0.158,0.366,0.7,1.0
GSW,42.993,39.007,0.033,0.102,0.192,0.434,0.94
LAC,43.143,38.857,0.023,0.08,0.194,0.407,0.929
PHO,45.05,36.95,0.021,0.089,0.217,0.55,0.995
SAC,49.518,32.482,0.018,0.076,0.193,0.497,1.0
BRK,45.407,36.593,0.013,0.03,0.107,0.333,0.994
NOP,41.847,40.153,0.011,0.047,0.122,0.262,0.674
NYK,47.329,34.671,0.01,0.03,0.104,0.292,1.0
LAL,41.806,40.194,0.006,0.028,0.081,0.198,0.635
DAL,40.051,41.949,0.005,0.015,0.027,0.075,0.185
TOR,40.313,41.687,0.004,0.011,0.036,0.125,0.437
MIN,41.329,40.671,0.003,0.019,0.069,0.16,0.507
ATL,40.368,41.632,0.002,0.006,0.026,0.099,0.431
MIA,42.65,39.35,0.001,0.007,0.046,0.165,0.816
OKC,39.809,42.191,0.001,0.002,0.009,0.03,0.121
CHI,39.697,42.303,0.0,0.006,0.03,0.088,0.318
UTA,38.08,43.92,0.0,0.0,0.0,0.001,0.014
WAS,36.57,45.43,0.0,0.0,0.0,0.0,0.004
IND,35.572,46.428,0.0,0.0,0.0,0.0,0.0
ORL,35.139,46.861,0.0,0.0,0.0,0.0,0.0
POR,33.997,48.003,0.0,0.0,0.0,0.0,0.0
CHO,27.522,54.478,0.0,0.0,0.0,0.0,0.0
HOU,20.121,61.879,0.0,0.0,0.0,0.0,0.0
SAS,19.936,62.064,0.0,0.0,0.0,0.0,0.0
DET,17.353,64.647,0.0,0.0,0.0,0.0,0.0
