team,wins,losses,champion,finals,conference_finals,second_round,playoffs
BOS,55.417,26.583,0.265,0.36,0.511,0.767,1.0
DEN,56.387,25.613,0.19,0.358,0.502,0.734,1.0
CLE,50.531,31.469,0.102,0.167,0.338,0.651,1.0
MEM,49.845,32.155,0.094,0.224,0.46,0.681,0.999
MIL,56.601,25.399,0.094,0.172,0.378,0.712,1.0
PHI,51.501,30.499,0.08,0.152,0.29,0.596,1.0
PHO,45.785,36.215,0.034,0.104,0.224,0.529,0.98
NYK,48.179,33.821,0.025,0.058,0.143,0.37,0.991
LAC,42.681,39.319,0.021,0.083,0.184,0.368,0.768
GSW,42.922,39.078,0.02,0.065,0.144,0.362,0.785
BRK,46.473,35.527,0.017,0.05,0.15,0.371,0.967
SAC,46.819,35.181,0.013,0.047,0.143,0.465,0.994
DAL,42.372,39.628,0.013,0.047,0.109,0.287,0.729
MIN,41.996,40.004,0.008,0.041,0.119,0.261,0.677
ATL,41.1,40.9,0.006,0.013,0.046,0.141,0.512
NOP,40.481,41.519,0.005,0.02,0.063,0.152,0.406
MIA,43.462,38.538,0.005,0.012,0.071,0.199,0.786
TOR,40.184,41.816,0.004,0.008,0.041,0.09,0.36
WAS,39.651,42.349,0.004,0.008,0.027,0.071,0.272
LAL,40.259,41.741,0.0,0.009,0.033,0.092,0.337
POR,38.912,43.088,0.0,0.001,0.011,0.033,0.14
OKC,38.438,43.562,0.0,0.001,0.007,0.021,0.112
CHI,37.463,44.537,0.0,0.0,0.005,0.027,0.09
UTA,38.336,43.664,0.0,0.0,0.001,0.015,0.073
IND,36.104,45.896,0.0,0.0,0.0,0.005,0.018
ORL,33.617,48.383,0.0,0.0,0.0,0.0,0.004
CHO,25.422,56.578,0.0,0.0,0.0,0.0,0.0
DET,20.048,61.952,0.0,0.0,0.0,0.0,0.0
SAS,19.53,62.47,0.0,0.0,0.0,0.0,0.0
HOU,19.484,62.516,0.0,0.0,0.0,0.0,0.0
