team,wins,losses,champion,finals,conference_finals,second_round,playoffs
BOS,65.0,19.0,0.219,0.327,0.471,0.647,1.0
DEN,60.998,25.0,0.174,0.323,0.524,0.867,1.0
OKC,60.998,25.0,0.093,0.2,0.439,0.784,1.0
MIN,59.998,26.0,0.085,0.162,0.289,0.756,1.0
CLE,51.998,34.0,0.083,0.213,0.359,0.858,1.0
MIL,50.999,34.999,0.069,0.144,0.292,0.531,1.0
NYK,53.998,32.0,0.064,0.147,0.404,0.806,1.0
DAL,51.999,33.999,0.04,0.091,0.225,0.513,1.0
PHO,49.0,36.998,0.035,0.074,0.13,0.244,1.0
LAC,52.999,32.999,0.031,0.082,0.225,0.487,1.0
MIA,48.0,38.0,0.024,0.061,0.132,0.353,1.0
IND,48.999,36.999,0.021,0.053,0.206,0.469,1.0
NOP,50.0,37.998,0.019,0.04,0.111,0.216,1.0
PHI,48.0,38.998,0.019,0.037,0.098,0.194,1.0
LAL,48.0,38.998,0.017,0.028,0.057,0.133,1.0
ORL,47.0,38.998,0.007,0.018,0.038,0.142,1.0
SAC,47.0,37.0,0.0,0.0,0.0,0.0,0.0
GSW,46.0,37.0,0.0,0.0,0.0,0.0,0.0
HOU,41.0,41.0,0.0,0.0,0.0,0.0,0.0
CHI,40.0,44.0,0.0,0.0,0.0,0.0,0.0
ATL,36.0,47.0,0.0,0.0,0.0,0.0,0.0
BRK,32.0,50.0,0.0,0.0,0.0,0.0,0.0
UTA,31.0,51.0,0.0,0.0,0.0,0.0,0.0
MEM,27.0,55.0,0.0,0.0,0.0,0.0,0.0
TOR,25.0,57.0,0.0,0.0,0.0,0.0,0.0
SAS,22.0,60.0,0.0,0.0,0.0,0.0,0.0
POR,21.0,61.0,0.0,0.0,0.0,0.0,0.0
CHO,21.0,61.0,0.0,0.0,0.0,0.0,0.0
WAS,15.0,67.0,0.0,0.0,0.0,0.0,0.0
DET,14.0,68.0,0.0,0.0,0.0,0.0,0.0
