team,wins,losses,champion,finals,conference_finals,second_round,playoffs
BOS,60.758,21.242,0.255,0.391,0.562,0.786,1.0
DEN,52.696,29.304,0.119,0.237,0.383,0.616,0.998
CLE,53.105,28.895,0.11,0.187,0.405,0.676,1.0
MIL,49.682,32.318,0.091,0.156,0.339,0.634,0.995
PHO,47.63,34.37,0.082,0.169,0.295,0.5,0.869
MIN,55.1,26.9,0.058,0.138,0.281,0.553,0.999
OKC,53.14,28.86,0.055,0.128,0.261,0.527,0.996
PHI,47.33,34.67,0.037,0.084,0.195,0.513,0.968
LAC,52.508,29.492,0.032,0.094,0.208,0.485,0.986
NYK,47.605,34.395,0.032,0.073,0.163,0.442,0.969
NOP,47.879,34.121,0.022,0.073,0.181,0.4,0.871
GSW,43.619,38.381,0.022,0.047,0.102,0.205,0.46
DAL,45.889,36.111,0.021,0.042,0.106,0.238,0.649
ORL,44.641,37.359,0.014,0.031,0.082,0.271,0.844
SAC,45.926,36.074,0.013,0.045,0.118,0.28,0.687
LAL,43.592,38.408,0.011,0.026,0.059,0.178,0.414
MIA,44.496,37.504,0.01,0.031,0.101,0.267,0.839
IND,44.444,37.556,0.007,0.031,0.104,0.288,0.824
CHI,38.987,43.013,0.006,0.012,0.033,0.077,0.296
ATL,36.445,45.555,0.002,0.003,0.012,0.034,0.181
BRK,33.952,48.048,0.001,0.001,0.003,0.011,0.067
HOU,37.705,44.295,0.0,0.001,0.004,0.011,0.04
UTA,37.696,44.304,0.0,0.0,0.002,0.007,0.031
TOR,30.797,51.203,0.0,0.0,0.001,0.001,0.017
MEM,32.572,49.428,0.0,0.0,0.0,0.0,0.0
POR,24.662,57.338,0.0,0.0,0.0,0.0,0.0
CHO,22.8,59.2,0.0,0.0,0.0,0.0,0.0
SAS,19.5,62.5,0.0,0.0,0.0,0.0,0.0
WAS,17.697,64.303,0.0,0.0,0.0,0.0,0.0
DET,17.147,64.853,0.0,0.0,0.0,0.0,0.0
