team,wins,losses,champion,finals,conference_finals,second_round,playoffs
BOS,57.139,22.861,0.366,0.497,0.692,0.873,0.999
PHI,53.804,26.196,0.169,0.267,0.543,0.773,0.994
DEN,52.963,27.037,0.15,0.329,0.501,0.72,0.987
MIN,51.639,28.361,0.092,0.238,0.424,0.698,0.984
GSW,46.717,33.283,0.043,0.101,0.217,0.477,0.927
PHO,44.242,35.758,0.025,0.089,0.21,0.435,0.814
NYK,45.062,34.938,0.025,0.055,0.159,0.436,0.856
LAC,44.372,35.628,0.024,0.089,0.193,0.436,0.827
CLE,43.151,36.849,0.017,0.041,0.117,0.335,0.768
DAL,46.368,33.632,0.014,0.061,0.181,0.433,0.882
ATL,43.788,36.212,0.012,0.03,0.123,0.349,0.765
MIL,42.441,37.559,0.012,0.028,0.1,0.288,0.704
IND,41.884,38.116,0.009,0.019,0.065,0.227,0.641
SAC,39.139,40.861,0.007,0.024,0.059,0.149,0.455
LAL,38.969,41.031,0.007,0.022,0.047,0.13,0.464
MIA,41.712,38.288,0.006,0.023,0.068,0.236,0.644
OKC,41.888,38.112,0.005,0.025,0.086,0.249,0.663
ORL,41.567,38.433,0.004,0.015,0.054,0.212,0.653
BRK,38.765,41.235,0.004,0.015,0.04,0.126,0.435
TOR,38.709,41.291,0.003,0.009,0.034,0.124,0.397
NOP,37.311,42.689,0.003,0.008,0.025,0.093,0.338
HOU,40.187,39.813,0.002,0.013,0.051,0.151,0.526
MEM,30.687,49.313,0.001,0.001,0.005,0.016,0.06
CHI,32.035,47.965,0.0,0.001,0.003,0.013,0.082
CHO,28.824,51.176,0.0,0.0,0.002,0.005,0.031
POR,29.196,50.804,0.0,0.0,0.001,0.006,0.039
UTA,29.568,50.432,0.0,0.0,0.0,0.007,0.025
DET,28.105,51.895,0.0,0.0,0.0,0.003,0.027
SAS,25.639,54.361,0.0,0.0,0.0,0.0,0.009
WAS,24.129,55.871,0.0,0.0,0.0,0.0,0.004
