team,wins,losses,champion,finals,conference_finals,second_round,playoffs
BOS,57.177,24.823,0.287,0.387,0.517,0.769,1.0
DEN,55.616,26.384,0.157,0.312,0.489,0.744,1.0
MEM,50.664,31.336,0.102,0.219,0.401,0.674,1.0
CLE,49.889,32.111,0.097,0.165,0.323,0.649,0.998
PHI,50.79,31.21,0.078,0.15,0.337,0.633,1.0
MIL,56.785,25.215,0.075,0.146,0.353,0.682,1.0
LAC,42.972,39.028,0.042,0.097,0.203,0.412,0.818
BRK,45.661,36.339,0.03,0.061,0.145,0.375,0.93
GSW,42.597,39.403,0.023,0.076,0.157,0.329,0.727
PHO,44.749,37.251,0.021,0.08,0.203,0.506,0.938
SAC,46.339,35.661,0.021,0.072,0.184,0.43,0.971
MIA,43.102,38.898,0.014,0.027,0.093,0.205,0.718
DAL,42.62,39.38,0.012,0.056,0.125,0.315,0.737
NYK,46.748,35.252,0.012,0.032,0.103,0.332,0.972
NOP,41.459,40.541,0.011,0.031,0.088,0.217,0.581
MIN,41.032,40.968,0.006,0.033,0.087,0.178,0.482
LAL,40.255,41.745,0.003,0.015,0.033,0.085,0.347
WAS,40.589,41.411,0.003,0.009,0.032,0.089,0.369
ATL,41.456,40.544,0.002,0.012,0.048,0.133,0.483
TOR,40.354,41.646,0.002,0.008,0.029,0.084,0.333
UTA,39.688,42.312,0.001,0.008,0.019,0.061,0.222
CHI,38.717,43.283,0.001,0.003,0.02,0.047,0.171
POR,38.311,43.689,0.0,0.001,0.01,0.034,0.116
OKC,37.407,44.593,0.0,0.0,0.001,0.015,0.061
IND,36.533,45.467,0.0,0.0,0.0,0.002,0.024
ORL,33.606,48.394,0.0,0.0,0.0,0.0,0.002
CHO,26.203,55.797,0.0,0.0,0.0,0.0,0.0
DET,20.497,61.503,0.0,0.0,0.0,0.0,0.0
SAS,19.602,62.398,0.0,0.0,0.0,0.0,0.0
HOU,18.582,63.418,0.0,0.0,0.0,0.0,0.0
