team,wins,losses,champion,finals,conference_finals,second_round,playoffs
BOS,55.319,26.681,0.244,0.345,0.492,0.759,1.0
DEN,56.261,25.739,0.209,0.37,0.522,0.738,1.0
MIL,57.16,24.84,0.103,0.182,0.375,0.706,1.0
CLE,50.461,31.539,0.09,0.169,0.344,0.705,1.0
MEM,49.203,32.797,0.086,0.211,0.412,0.69,0.999
PHI,52.285,29.715,0.079,0.153,0.295,0.607,1.0
LAC,42.431,39.569,0.034,0.084,0.167,0.333,0.752
PHO,45.827,36.173,0.033,0.081,0.208,0.538,0.976
BRK,46.778,35.222,0.033,0.069,0.188,0.389,0.98
GSW,42.381,39.619,0.016,0.063,0.141,0.325,0.724
NYK,47.232,34.768,0.013,0.034,0.113,0.291,0.986
SAC,47.043,34.957,0.012,0.067,0.196,0.474,0.994
MIN,41.528,40.472,0.012,0.043,0.108,0.215,0.599
DAL,42.593,39.407,0.01,0.04,0.111,0.326,0.786
MIA,43.358,38.642,0.008,0.024,0.072,0.204,0.784
NOP,40.512,41.488,0.007,0.024,0.063,0.145,0.387
WAS,40.089,41.911,0.004,0.008,0.034,0.083,0.336
ATL,41.079,40.921,0.003,0.009,0.043,0.137,0.496
LAL,40.677,41.323,0.002,0.012,0.035,0.122,0.398
TOR,40.125,41.875,0.001,0.005,0.035,0.096,0.332
POR,38.797,43.203,0.001,0.002,0.012,0.033,0.138
OKC,39.128,42.872,0.0,0.002,0.022,0.048,0.18
CHI,37.362,44.638,0.0,0.002,0.008,0.021,0.072
UTA,38.179,43.821,0.0,0.001,0.003,0.013,0.067
IND,35.99,46.01,0.0,0.0,0.001,0.002,0.014
ORL,33.083,48.917,0.0,0.0,0.0,0.0,0.0
CHO,26.453,55.547,0.0,0.0,0.0,0.0,0.0
DET,19.795,62.205,0.0,0.0,0.0,0.0,0.0
SAS,19.677,62.323,0.0,0.0,0.0,0.0,0.0
HOU,19.194,62.806,0.0,0.0,0.0,0.0,0.0
