team,wins,losses,champion,finals,conference_finals,second_round,playoffs
BOS,62.545,19.455,0.221,0.336,0.532,0.789,1.0
DEN,55.167,26.833,0.124,0.239,0.381,0.631,1.0
CLE,52.299,29.701,0.111,0.193,0.362,0.681,0.999
MIL,52.23,29.77,0.086,0.169,0.357,0.652,1.0
PHO,46.364,35.636,0.06,0.127,0.223,0.404,0.768
OKC,53.956,28.044,0.06,0.122,0.241,0.516,0.999
MIN,54.865,27.135,0.055,0.114,0.273,0.537,0.999
PHI,46.065,35.935,0.038,0.084,0.185,0.415,0.919
LAC,51.334,30.666,0.034,0.105,0.24,0.5,0.979
NYK,46.878,35.122,0.034,0.075,0.18,0.404,0.945
SAC,46.708,35.292,0.031,0.069,0.147,0.342,0.765
NOP,47.702,34.298,0.03,0.081,0.183,0.389,0.873
GSW,44.817,37.183,0.024,0.06,0.119,0.249,0.566
MIA,46.335,35.665,0.024,0.057,0.142,0.367,0.908
DAL,45.783,36.217,0.019,0.048,0.116,0.261,0.653
IND,44.537,37.463,0.018,0.041,0.103,0.283,0.828
ORL,46.198,35.802,0.013,0.031,0.1,0.3,0.902
LAL,43.269,38.731,0.009,0.034,0.075,0.163,0.376
CHI,38.455,43.545,0.004,0.007,0.022,0.063,0.26
ATL,35.408,46.592,0.004,0.005,0.011,0.028,0.136
HOU,37.359,44.641,0.001,0.001,0.002,0.008,0.018
BRK,34.238,47.762,0.0,0.002,0.004,0.015,0.082
TOR,31.67,50.33,0.0,0.0,0.002,0.003,0.021
UTA,35.988,46.012,0.0,0.0,0.0,0.0,0.004
MEM,29.738,52.262,0.0,0.0,0.0,0.0,0.0
POR,25.154,56.846,0.0,0.0,0.0,0.0,0.0
CHO,22.889,59.111,0.0,0.0,0.0,0.0,0.0
SAS,19.28,62.72,0.0,0.0,0.0,0.0,0.0
DET,16.675,65.325,0.0,0.0,0.0,0.0,0.0
WAS,16.094,65.906,0.0,0.0,0.0,0.0,0.0
