team,wins,losses,champion,finals,conference_finals,second_round,playoffs
BOS,60.952,21.048,0.409,0.533,0.715,0.866,1.0
PHI,54.924,27.076,0.159,0.244,0.492,0.773,1.0
DEN,53.371,28.629,0.118,0.278,0.446,0.674,0.995
MIN,56.815,25.185,0.099,0.254,0.442,0.694,1.0
MIL,51.536,30.464,0.035,0.072,0.227,0.569,0.993
HOU,46.022,35.978,0.029,0.082,0.163,0.353,0.765
LAC,47.465,34.535,0.022,0.085,0.192,0.447,0.874
OKC,49.313,32.687,0.021,0.1,0.212,0.479,0.934
NYK,46.143,35.857,0.019,0.044,0.125,0.365,0.891
ORL,46.773,35.227,0.015,0.035,0.135,0.4,0.922
SAC,44.707,37.293,0.012,0.036,0.093,0.26,0.644
CLE,46.247,35.753,0.012,0.034,0.123,0.402,0.883
GSW,43.573,38.427,0.01,0.037,0.107,0.227,0.536
DAL,43.933,38.067,0.01,0.03,0.081,0.212,0.598
LAL,43.926,38.074,0.007,0.041,0.095,0.243,0.598
PHO,42.883,39.117,0.006,0.037,0.099,0.232,0.509
MIA,44.316,37.684,0.005,0.012,0.065,0.251,0.795
IND,41.355,40.645,0.005,0.012,0.052,0.153,0.534
ATL,39.15,42.85,0.002,0.005,0.03,0.099,0.37
TOR,35.224,46.776,0.002,0.003,0.009,0.025,0.108
NOP,43.562,38.438,0.001,0.02,0.07,0.176,0.521
BRK,39.817,42.183,0.001,0.004,0.019,0.081,0.383
CHI,35.899,46.101,0.001,0.002,0.008,0.016,0.121
UTA,34.616,47.384,0.0,0.0,0.0,0.003,0.026
MEM,29.833,52.167,0.0,0.0,0.0,0.0,0.0
CHO,24.669,57.331,0.0,0.0,0.0,0.0,0.0
POR,22.856,59.144,0.0,0.0,0.0,0.0,0.0
SAS,21.988,60.012,0.0,0.0,0.0,0.0,0.0
WAS,19.586,62.414,0.0,0.0,0.0,0.0,0.0
DET,18.546,63.454,0.0,0.0,0.0,0.0,0.0
