team,wins,losses,champion,finals,conference_finals,second_round,playoffs
BOS,58.576,22.424,0.386,0.502,0.683,0.843,1.0
MIN,55.296,26.704,0.144,0.291,0.487,0.711,0.997
PHI,53.572,28.428,0.134,0.228,0.496,0.73,0.995
DEN,52.47,29.53,0.106,0.26,0.434,0.68,0.99
OKC,48.703,33.297,0.034,0.103,0.211,0.484,0.925
PHO,46.413,34.587,0.031,0.102,0.205,0.435,0.816
ORL,47.865,34.135,0.024,0.058,0.161,0.429,0.906
MIL,47.869,33.131,0.022,0.051,0.177,0.469,0.923
LAL,44.262,36.738,0.019,0.06,0.133,0.33,0.714
LAC,43.96,38.04,0.017,0.05,0.135,0.32,0.691
NYK,46.956,34.044,0.017,0.048,0.133,0.404,0.879
HOU,43.185,38.815,0.015,0.05,0.111,0.243,0.613
CLE,44.981,37.019,0.015,0.037,0.102,0.33,0.792
IND,43.574,37.426,0.01,0.03,0.086,0.278,0.683
MIA,43.54,38.46,0.009,0.028,0.066,0.192,0.647
GSW,42.35,39.65,0.005,0.026,0.082,0.196,0.531
DAL,43.078,38.922,0.005,0.025,0.08,0.208,0.587
SAC,43.284,37.716,0.003,0.016,0.071,0.211,0.591
BRK,40.819,41.181,0.002,0.01,0.04,0.122,0.429
NOP,41.982,39.018,0.001,0.016,0.046,0.166,0.479
ATL,41.238,40.762,0.001,0.008,0.044,0.145,0.472
UTA,34.037,47.963,0.0,0.001,0.004,0.012,0.05
TOR,38.326,43.674,0.0,0.0,0.012,0.052,0.241
MEM,31.178,50.822,0.0,0.0,0.001,0.004,0.015
CHI,32.899,49.101,0.0,0.0,0.0,0.006,0.031
CHO,27.099,54.901,0.0,0.0,0.0,0.0,0.002
POR,24.508,57.492,0.0,0.0,0.0,0.0,0.001
SAS,23.465,58.535,0.0,0.0,0.0,0.0,0.0
DET,21.127,60.873,0.0,0.0,0.0,0.0,0.0
WAS,19.388,62.612,0.0,0.0,0.0,0.0,0.0
