team,wins,losses,champion,finals,conference_finals,second_round,playoffs
BOS,65.0,19.0,0.197,0.306,0.453,0.654,1.0
DEN,60.998,25.0,0.175,0.32,0.526,0.872,1.0
CLE,51.998,34.0,0.102,0.201,0.375,0.843,1.0
MIN,59.998,26.0,0.088,0.174,0.315,0.792,1.0
OKC,60.998,25.0,0.087,0.199,0.444,0.791,1.0
MIL,50.999,34.999,0.078,0.153,0.341,0.575,1.0
NYK,53.998,32.0,0.063,0.154,0.388,0.793,1.0
DAL,51.999,33.999,0.041,0.087,0.212,0.489,1.0
LAC,52.999,32.999,0.038,0.087,0.227,0.511,1.0
IND,48.999,36.999,0.032,0.067,0.175,0.425,1.0
PHO,49.0,36.998,0.032,0.063,0.108,0.208,1.0
PHI,48.0,38.998,0.025,0.049,0.096,0.207,1.0
NOP,50.0,37.998,0.018,0.044,0.117,0.209,1.0
MIA,48.0,38.0,0.015,0.053,0.132,0.346,1.0
LAL,48.0,38.998,0.007,0.026,0.051,0.128,1.0
ORL,47.0,38.998,0.002,0.017,0.04,0.157,1.0
SAC,47.0,37.0,0.0,0.0,0.0,0.0,0.0
GSW,46.0,37.0,0.0,0.0,0.0,0.0,0.0
HOU,41.0,41.0,0.0,0.0,0.0,0.0,0.0
CHI,40.0,44.0,0.0,0.0,0.0,0.0,0.0
ATL,36.0,47.0,0.0,0.0,0.0,0.0,0.0
BRK,32.0,50.0,0.0,0.0,0.0,0.0,0.0
UTA,31.0,51.0,0.0,0.0,0.0,0.0,0.0
MEM,27.0,55.0,0.0,0.0,0.0,0.0,0.0
TOR,25.0,57.0,0.0,0.0,0.0,0.0,0.0
SAS,22.0,60.0,0.0,0.0,0.0,0.0,0.0
POR,21.0,61.0,0.0,0.0,0.0,0.0,0.0
CHO,21.0,61.0,0.0,0.0,0.0,0.0,0.0
WAS,15.0,67.0,0.0,0.0,0.0,0.0,0.0
DET,14.0,68.0,0.0,0.0,0.0,0.0,0.0
