team,wins,losses,champion,finals,conference_finals,second_round,playoffs
BOS,55.781,26.219,0.268,0.343,0.539,0.797,1.0
CLE,50.537,31.463,0.131,0.18,0.342,0.672,1.0
DEN,53.665,28.335,0.129,0.302,0.473,0.739,1.0
MIL,57.413,24.587,0.119,0.192,0.381,0.708,1.0
PHI,53.519,28.481,0.104,0.167,0.331,0.659,1.0
MEM,49.943,32.057,0.083,0.229,0.431,0.711,1.0
LAC,43.778,38.222,0.032,0.106,0.217,0.461,0.928
PHO,44.774,37.226,0.024,0.091,0.209,0.506,0.969
BRK,46.635,35.365,0.022,0.044,0.137,0.348,0.979
SAC,48.891,33.109,0.021,0.095,0.225,0.503,1.0
GSW,42.6,39.4,0.021,0.062,0.147,0.348,0.828
MIN,40.902,41.098,0.01,0.039,0.08,0.171,0.514
LAL,40.644,41.356,0.009,0.023,0.052,0.122,0.422
MIA,43.765,38.235,0.008,0.02,0.076,0.206,0.835
DAL,41.626,40.374,0.007,0.031,0.094,0.241,0.636
NYK,47.544,34.456,0.004,0.032,0.122,0.341,0.989
ATL,40.84,41.16,0.003,0.011,0.033,0.109,0.488
WAS,38.842,43.158,0.002,0.005,0.013,0.044,0.195
NOP,40.027,41.973,0.001,0.017,0.042,0.105,0.32
TOR,40.163,41.837,0.001,0.003,0.015,0.084,0.364
CHI,38.025,43.975,0.001,0.003,0.011,0.026,0.113
OKC,39.666,42.334,0.0,0.004,0.021,0.063,0.227
UTA,38.672,43.328,0.0,0.001,0.007,0.022,0.116
POR,37.278,44.722,0.0,0.0,0.002,0.008,0.04
IND,36.933,45.067,0.0,0.0,0.0,0.006,0.037
ORL,32.209,49.791,0.0,0.0,0.0,0.0,0.0
CHO,25.642,56.358,0.0,0.0,0.0,0.0,0.0
SAS,20.563,61.437,0.0,0.0,0.0,0.0,0.0
HOU,20.079,61.921,0.0,0.0,0.0,0.0,0.0
DET,19.044,62.956,0.0,0.0,0.0,0.0,0.0
