team,wins,losses,champion,finals,conference_finals,second_round,playoffs
BOS,66.0,19.0,0.244,0.4,0.592,0.817,1.0
DEN,62.997,26.999,0.135,0.276,0.519,0.919,1.0
OKC,62.997,25.0,0.131,0.274,0.53,0.963,1.0
MIN,61.997,26.0,0.104,0.202,0.415,0.959,1.0
CLE,51.998,37.998,0.066,0.117,0.191,0.538,1.0
NYK,53.998,33.999,0.056,0.132,0.347,0.7,1.0
DAL,53.998,33.999,0.055,0.145,0.304,0.684,1.0
MIL,50.999,36.998,0.047,0.099,0.207,0.351,1.0
IND,50.998,36.999,0.038,0.095,0.291,0.649,1.0
LAC,52.999,34.998,0.035,0.066,0.145,0.316,1.0
PHI,49.999,38.998,0.032,0.06,0.155,0.3,1.0
ORL,50.998,38.998,0.024,0.061,0.134,0.462,1.0
MIA,48.0,39.0,0.015,0.036,0.083,0.183,1.0
LAL,49.999,40.997,0.009,0.019,0.049,0.081,1.0
PHO,49.0,38.997,0.005,0.01,0.017,0.041,1.0
NOP,50.0,39.997,0.004,0.008,0.021,0.037,1.0
SAC,47.0,37.0,0.0,0.0,0.0,0.0,0.0
GSW,46.0,37.0,0.0,0.0,0.0,0.0,0.0
HOU,41.0,41.0,0.0,0.0,0.0,0.0,0.0
CHI,40.0,44.0,0.0,0.0,0.0,0.0,0.0
ATL,36.0,47.0,0.0,0.0,0.0,0.0,0.0
BRK,32.0,50.0,0.0,0.0,0.0,0.0,0.0
UTA,31.0,51.0,0.0,0.0,0.0,0.0,0.0
MEM,27.0,55.0,0.0,0.0,0.0,0.0,0.0
TOR,25.0,57.0,0.0,0.0,0.0,0.0,0.0
SAS,22.0,60.0,0.0,0.0,0.0,0.0,0.0
POR,21.0,61.0,0.0,0.0,0.0,0.0,0.0
CHO,21.0,61.0,0.0,0.0,0.0,0.0,0.0
WAS,15.0,67.0,0.0,0.0,0.0,0.0,0.0
DET,14.0,68.0,0.0,0.0,0.0,0.0,0.0
