team,wins,losses,champion,finals,conference_finals,second_round,playoffs
BOS,55.256,26.744,0.263,0.353,0.514,0.78,1.0
CLE,50.678,31.322,0.117,0.19,0.34,0.661,1.0
MIL,57.445,24.555,0.116,0.165,0.36,0.706,1.0
DEN,53.991,28.009,0.114,0.257,0.421,0.692,1.0
PHI,52.903,29.097,0.102,0.163,0.349,0.666,1.0
MEM,50.512,31.488,0.096,0.254,0.453,0.669,1.0
LAC,43.292,38.708,0.036,0.12,0.241,0.434,0.876
BRK,47.72,34.28,0.032,0.066,0.174,0.379,0.993
PHO,45.313,36.687,0.031,0.117,0.225,0.556,0.972
SAC,47.552,34.448,0.024,0.069,0.179,0.453,0.997
GSW,43.048,38.952,0.023,0.084,0.178,0.391,0.847
NYK,46.884,35.116,0.013,0.029,0.107,0.306,0.988
MIN,41.334,40.666,0.008,0.031,0.086,0.202,0.553
NOP,40.603,41.397,0.006,0.02,0.056,0.151,0.412
DAL,41.396,40.604,0.005,0.024,0.081,0.225,0.582
LAL,40.619,41.381,0.003,0.015,0.043,0.122,0.402
CHI,38.535,43.465,0.003,0.007,0.024,0.056,0.194
ATL,40.975,41.025,0.002,0.01,0.044,0.144,0.57
MIA,43.222,38.778,0.002,0.009,0.056,0.174,0.772
TOR,39.254,42.746,0.002,0.006,0.02,0.07,0.264
OKC,39.597,42.403,0.001,0.005,0.021,0.062,0.206
UTA,38.761,43.239,0.001,0.004,0.01,0.024,0.097
WAS,38.661,43.339,0.0,0.002,0.012,0.058,0.202
POR,37.799,44.201,0.0,0.0,0.006,0.019,0.056
IND,35.983,46.017,0.0,0.0,0.0,0.0,0.017
ORL,33.343,48.657,0.0,0.0,0.0,0.0,0.0
CHO,26.134,55.866,0.0,0.0,0.0,0.0,0.0
SAS,20.081,61.919,0.0,0.0,0.0,0.0,0.0
DET,19.635,62.365,0.0,0.0,0.0,0.0,0.0
HOU,19.474,62.526,0.0,0.0,0.0,0.0,0.0
