team,wins,losses,champion,finals,conference_finals,second_round,playoffs
BOS,56.219,25.781,0.284,0.36,0.529,0.797,1.0
DEN,53.71,28.29,0.126,0.295,0.454,0.717,1.0
PHI,53.923,28.077,0.117,0.174,0.335,0.669,1.0
MIL,57.353,24.647,0.115,0.174,0.37,0.717,1.0
CLE,50.72,31.28,0.102,0.158,0.325,0.674,1.0
MEM,50.051,31.949,0.074,0.249,0.438,0.701,1.0
LAC,43.777,38.223,0.039,0.121,0.252,0.49,0.955
SAC,48.899,33.101,0.029,0.096,0.214,0.521,0.999
BRK,46.689,35.311,0.027,0.047,0.145,0.366,0.985
PHO,44.768,37.232,0.02,0.068,0.184,0.48,0.987
NYK,47.486,34.514,0.019,0.037,0.127,0.325,0.99
GSW,42.163,39.837,0.011,0.069,0.165,0.334,0.819
DAL,42.202,39.798,0.011,0.046,0.125,0.335,0.806
MIA,43.764,38.236,0.007,0.016,0.061,0.164,0.804
ATL,41.357,40.643,0.006,0.017,0.052,0.138,0.57
MIN,40.54,41.46,0.004,0.024,0.069,0.158,0.469
TOR,40.323,41.677,0.004,0.01,0.032,0.091,0.369
LAL,39.964,42.036,0.003,0.014,0.033,0.091,0.339
CHI,38.459,43.541,0.002,0.005,0.017,0.034,0.139
NOP,39.242,42.758,0.0,0.008,0.021,0.059,0.204
UTA,38.807,43.193,0.0,0.006,0.014,0.029,0.126
OKC,39.784,42.216,0.0,0.004,0.029,0.081,0.274
WAS,38.615,43.385,0.0,0.002,0.007,0.023,0.127
POR,36.756,45.244,0.0,0.0,0.002,0.004,0.022
IND,37.026,44.974,0.0,0.0,0.0,0.002,0.016
ORL,32.29,49.71,0.0,0.0,0.0,0.0,0.0
CHO,25.237,56.763,0.0,0.0,0.0,0.0,0.0
HOU,20.881,61.119,0.0,0.0,0.0,0.0,0.0
SAS,20.098,61.902,0.0,0.0,0.0,0.0,0.0
DET,18.897,63.103,0.0,0.0,0.0,0.0,0.0
