team,wins,losses,champion,finals,conference_finals,second_round,playoffs
BOS,59.079,21.921,0.426,0.552,0.717,0.864,1.0
PHI,53.964,28.036,0.129,0.217,0.501,0.743,0.997
DEN,52.408,29.592,0.116,0.291,0.467,0.687,0.99
MIN,54.87,27.13,0.116,0.277,0.444,0.712,0.996
PHO,46.91,34.09,0.039,0.105,0.244,0.487,0.862
MIL,47.602,33.398,0.024,0.061,0.165,0.482,0.917
DAL,45.777,36.223,0.021,0.051,0.137,0.336,0.798
OKC,48.049,33.951,0.02,0.068,0.185,0.423,0.898
CLE,44.482,37.518,0.017,0.038,0.117,0.345,0.768
LAC,43.803,38.197,0.016,0.053,0.131,0.3,0.664
ORL,48.315,33.685,0.016,0.044,0.155,0.446,0.929
NYK,46.28,34.72,0.015,0.036,0.123,0.373,0.854
SAC,43.334,37.666,0.01,0.035,0.075,0.212,0.57
HOU,43.948,38.052,0.009,0.045,0.102,0.258,0.64
MIA,44.271,37.729,0.008,0.022,0.08,0.252,0.747
GSW,42.679,39.321,0.005,0.028,0.086,0.207,0.527
LAL,43.273,37.727,0.004,0.031,0.087,0.242,0.596
IND,41.756,39.244,0.004,0.016,0.062,0.186,0.562
NOP,41.299,39.701,0.004,0.016,0.04,0.126,0.413
TOR,39.001,42.999,0.001,0.004,0.015,0.061,0.301
ATL,41.554,40.446,0.0,0.007,0.039,0.16,0.516
BRK,39.89,42.11,0.0,0.003,0.026,0.086,0.379
UTA,33.323,48.677,0.0,0.0,0.002,0.009,0.034
CHI,32.391,49.609,0.0,0.0,0.0,0.002,0.029
MEM,30.122,51.878,0.0,0.0,0.0,0.001,0.011
CHO,26.916,55.084,0.0,0.0,0.0,0.0,0.001
POR,24.904,57.096,0.0,0.0,0.0,0.0,0.001
SAS,23.797,58.203,0.0,0.0,0.0,0.0,0.0
DET,22.362,59.638,0.0,0.0,0.0,0.0,0.0
WAS,19.641,62.359,0.0,0.0,0.0,0.0,0.0
