team,wins,losses,champion,finals,conference_finals,second_round,playoffs
DEN,62.997,25.0,0.198,0.347,0.557,0.947,1.0
BOS,65.0,19.0,0.166,0.278,0.42,0.634,1.0
MIN,59.998,26.0,0.091,0.171,0.335,0.794,1.0
CLE,51.998,35.999,0.09,0.174,0.34,0.713,1.0
OKC,60.998,25.0,0.083,0.186,0.421,0.785,1.0
NYK,53.998,33.999,0.067,0.145,0.32,0.666,1.0
MIL,50.999,34.999,0.065,0.136,0.287,0.515,1.0
LAC,52.999,32.999,0.049,0.114,0.244,0.5,1.0
DAL,51.999,33.999,0.042,0.088,0.224,0.5,1.0
IND,48.999,36.999,0.036,0.099,0.24,0.485,1.0
PHI,49.999,38.998,0.029,0.062,0.153,0.334,1.0
PHO,49.0,36.998,0.025,0.046,0.082,0.206,1.0
MIA,48.0,38.0,0.021,0.059,0.138,0.366,1.0
ORL,48.999,38.998,0.018,0.047,0.102,0.287,1.0
NOP,50.0,37.998,0.015,0.038,0.111,0.215,1.0
LAL,48.0,40.997,0.005,0.01,0.026,0.053,1.0
SAC,47.0,37.0,0.0,0.0,0.0,0.0,0.0
GSW,46.0,37.0,0.0,0.0,0.0,0.0,0.0
HOU,41.0,41.0,0.0,0.0,0.0,0.0,0.0
CHI,40.0,44.0,0.0,0.0,0.0,0.0,0.0
ATL,36.0,47.0,0.0,0.0,0.0,0.0,0.0
BRK,32.0,50.0,0.0,0.0,0.0,0.0,0.0
UTA,31.0,51.0,0.0,0.0,0.0,0.0,0.0
MEM,27.0,55.0,0.0,0.0,0.0,0.0,0.0
TOR,25.0,57.0,0.0,0.0,0.0,0.0,0.0
SAS,22.0,60.0,0.0,0.0,0.0,0.0,0.0
POR,21.0,61.0,0.0,0.0,0.0,0.0,0.0
CHO,21.0,61.0,0.0,0.0,0.0,0.0,0.0
WAS,15.0,67.0,0.0,0.0,0.0,0.0,0.0
DET,14.0,68.0,0.0,0.0,0.0,0.0,0.0
