team,wins,losses,champion,finals,conference_finals,second_round,playoffs
DEN,54.05,25.95,0.23,0.31,0.53,0.73,1.0
PHI,50.62,29.38,0.18,0.31,0.53,0.74,0.99
GSW,51.1,28.9,0.18,0.25,0.42,0.64,0.97
BOS,54.65,25.35,0.16,0.42,0.63,0.78,1.0
LAC,50.42,29.58,0.12,0.2,0.35,0.65,0.97
PHO,48.43,31.57,0.04,0.08,0.21,0.52,0.96
NYK,45.84,34.16,0.02,0.1,0.28,0.6,0.88
DAL,47.03,32.97,0.02,0.08,0.2,0.43,0.88
IND,43.57,36.43,0.02,0.07,0.19,0.41,0.81
OKC,45.22,34.78,0.01,0.03,0.09,0.24,0.78
ORL,43.06,36.94,0.01,0.01,0.05,0.29,0.88
BRK,39.04,40.96,0.01,0.01,0.04,0.12,0.55
ATL,44.16,35.84,0.0,0.04,0.13,0.41,0.89
DET,38.51,41.49,0.0,0.03,0.05,0.18,0.51
NOP,40.51,39.49,0.0,0.02,0.03,0.13,0.46
SAC,44.28,35.72,0.0,0.01,0.08,0.29,0.75
LAL,42.81,37.19,0.0,0.01,0.06,0.21,0.71
MIN,40.68,39.32,0.0,0.01,0.02,0.14,0.45
CLE,35.39,44.61,0.0,0.01,0.02,0.08,0.27
MIA,36.9,43.1,0.0,0.0,0.05,0.07,0.39
MIL,40.29,39.71,0.0,0.0,0.02,0.25,0.52
TOR,30.54,49.46,0.0,0.0,0.01,0.03,0.09
MEM,30.92,49.08,0.0,0.0,0.01,0.01,0.03
CHI,33.61,46.39,0.0,0.0,0.0,0.04,0.21
UTA,28.02,51.98,0.0,0.0,0.0,0.01,0.01
POR,31.56,48.44,0.0,0.0,0.0,0.0,0.03
CHO,29.89,50.11,0.0,0.0,0.0,0.0,0.01
SAS,28.69,51.31,0.0,0.0,0.0,0.0,0.0
HOU,25.86,54.14,0.0,0.0,0.0,0.0,0.0
WAS,24.35,55.65,0.0,0.0,0.0,0.0,0.0
