team,wins,losses,champion,finals,conference_finals,second_round,playoffs
BOS,63.363,18.637,0.223,0.347,0.515,0.74,1.0
DEN,56.729,25.271,0.132,0.246,0.418,0.67,1.0
MIL,51.318,30.682,0.119,0.187,0.39,0.669,1.0
CLE,48.896,33.104,0.095,0.161,0.318,0.655,0.997
PHO,47.704,34.296,0.075,0.137,0.234,0.436,0.815
MIN,55.939,26.061,0.067,0.136,0.277,0.538,1.0
OKC,55.37,26.63,0.053,0.132,0.261,0.528,1.0
LAC,50.639,31.361,0.04,0.094,0.215,0.47,0.984
NOP,49.993,32.007,0.036,0.089,0.202,0.453,0.966
NYK,49.524,32.476,0.033,0.114,0.258,0.581,0.996
PHI,44.224,37.776,0.026,0.06,0.132,0.308,0.853
DAL,48.626,33.374,0.021,0.057,0.152,0.361,0.865
SAC,47.035,34.965,0.019,0.051,0.116,0.273,0.675
IND,45.415,36.585,0.014,0.042,0.132,0.33,0.904
LAL,45.603,36.397,0.013,0.033,0.067,0.158,0.407
GSW,43.791,38.209,0.011,0.021,0.05,0.093,0.224
ORL,47.042,34.958,0.009,0.043,0.124,0.349,0.977
MIA,44.665,37.335,0.009,0.036,0.093,0.265,0.867
ATL,38.096,43.904,0.002,0.005,0.019,0.051,0.193
HOU,42.132,39.868,0.002,0.004,0.008,0.02,0.064
CHI,39.192,42.808,0.001,0.005,0.019,0.051,0.21
BRK,32.46,49.54,0.0,0.0,0.0,0.001,0.003
UTA,32.066,49.934,0.0,0.0,0.0,0.0,0.0
MEM,28.081,53.919,0.0,0.0,0.0,0.0,0.0
TOR,26.49,55.51,0.0,0.0,0.0,0.0,0.0
POR,22.294,59.706,0.0,0.0,0.0,0.0,0.0
CHO,21.276,60.724,0.0,0.0,0.0,0.0,0.0
SAS,20.019,61.981,0.0,0.0,0.0,0.0,0.0
WAS,16.887,65.113,0.0,0.0,0.0,0.0,0.0
DET,15.131,66.869,0.0,0.0,0.0,0.0,0.0
