team,wins,losses,champion,finals,conference_finals,second_round,playoffs
BOS,57.235,24.765,0.303,0.409,0.56,0.788,1.0
DEN,54.929,27.071,0.173,0.348,0.519,0.726,1.0
MEM,49.795,32.205,0.083,0.21,0.403,0.663,1.0
CLE,49.926,32.074,0.08,0.136,0.287,0.64,1.0
MIL,55.492,26.508,0.073,0.154,0.369,0.704,1.0
PHI,51.038,30.962,0.07,0.14,0.294,0.601,1.0
LAC,44.09,37.91,0.054,0.147,0.275,0.506,0.883
BRK,46.994,35.006,0.039,0.069,0.17,0.404,0.971
GSW,41.72,40.28,0.02,0.054,0.129,0.26,0.577
SAC,45.348,36.652,0.019,0.057,0.151,0.401,0.93
NYK,45.642,36.358,0.015,0.029,0.103,0.297,0.925
DAL,44.123,37.877,0.014,0.06,0.149,0.42,0.885
PHO,44.432,37.568,0.014,0.059,0.167,0.423,0.896
MIA,43.082,38.918,0.009,0.022,0.086,0.21,0.712
WAS,40.702,41.298,0.007,0.012,0.036,0.11,0.392
ATL,41.512,40.488,0.006,0.017,0.051,0.121,0.508
TOR,40.379,41.621,0.006,0.01,0.03,0.08,0.33
NOP,41.662,40.338,0.004,0.026,0.083,0.205,0.547
MIN,40.72,41.28,0.004,0.018,0.052,0.131,0.396
LAL,39.23,42.77,0.003,0.006,0.026,0.067,0.19
CHI,38.573,43.427,0.002,0.002,0.013,0.044,0.151
UTA,40.376,41.624,0.001,0.008,0.018,0.089,0.31
OKC,39.244,42.756,0.001,0.005,0.017,0.065,0.2
POR,39.046,42.954,0.0,0.002,0.011,0.044,0.186
IND,35.442,46.558,0.0,0.0,0.001,0.001,0.01
ORL,33.249,48.751,0.0,0.0,0.0,0.0,0.001
CHO,26.183,55.817,0.0,0.0,0.0,0.0,0.0
DET,21.385,60.615,0.0,0.0,0.0,0.0,0.0
HOU,19.437,62.563,0.0,0.0,0.0,0.0,0.0
SAS,19.014,62.986,0.0,0.0,0.0,0.0,0.0
