team,wins,losses,champion,finals,conference_finals,second_round,playoffs
BOS,62.641,19.359,0.237,0.362,0.541,0.776,1.0
DEN,55.359,26.641,0.135,0.264,0.405,0.673,1.0
MIL,52.028,29.972,0.111,0.188,0.388,0.652,1.0
CLE,50.341,31.659,0.095,0.179,0.345,0.657,0.998
PHO,47.038,34.962,0.072,0.142,0.25,0.445,0.821
OKC,55.091,26.909,0.064,0.13,0.268,0.55,1.0
MIN,53.818,28.182,0.058,0.121,0.253,0.534,1.0
LAC,51.997,30.003,0.043,0.103,0.218,0.473,0.995
NOP,49.306,32.694,0.04,0.093,0.211,0.455,0.954
NYK,46.765,35.235,0.026,0.065,0.145,0.425,0.96
PHI,45.477,36.523,0.023,0.075,0.179,0.431,0.91
SAC,46.424,35.576,0.018,0.057,0.132,0.279,0.723
ORL,46.076,35.924,0.016,0.041,0.124,0.324,0.921
DAL,46.155,35.845,0.015,0.033,0.108,0.269,0.671
IND,44.731,37.269,0.014,0.041,0.115,0.31,0.856
MIA,44.971,37.029,0.014,0.037,0.124,0.32,0.873
GSW,43.84,38.16,0.013,0.037,0.084,0.165,0.429
LAL,44.15,37.85,0.004,0.02,0.069,0.149,0.385
CHI,39.674,42.326,0.001,0.007,0.027,0.071,0.291
ATL,36.973,45.027,0.001,0.005,0.012,0.029,0.158
HOU,38.501,43.499,0.0,0.0,0.001,0.007,0.02
UTA,35.474,46.526,0.0,0.0,0.001,0.001,0.002
BRK,33.704,48.296,0.0,0.0,0.0,0.005,0.03
TOR,30.345,51.655,0.0,0.0,0.0,0.0,0.003
MEM,30.001,51.999,0.0,0.0,0.0,0.0,0.0
POR,24.272,57.728,0.0,0.0,0.0,0.0,0.0
CHO,21.369,60.631,0.0,0.0,0.0,0.0,0.0
SAS,20.138,61.862,0.0,0.0,0.0,0.0,0.0
DET,16.767,65.233,0.0,0.0,0.0,0.0,0.0
WAS,16.574,65.426,0.0,0.0,0.0,0.0,0.0
