team,wins,losses,champion,finals,conference_finals,second_round,playoffs
BOS,61.938,20.062,0.371,0.507,0.701,0.876,1.0
PHI,55.432,26.568,0.143,0.228,0.503,0.752,0.999
DEN,54.091,27.909,0.115,0.267,0.444,0.681,0.997
MIN,56.871,25.129,0.101,0.249,0.43,0.676,1.0
LAC,47.662,34.338,0.041,0.103,0.213,0.465,0.889
MIL,51.59,30.41,0.031,0.079,0.199,0.552,0.989
OKC,50.671,31.329,0.027,0.089,0.225,0.517,0.97
NYK,46.375,35.625,0.024,0.045,0.128,0.356,0.89
LAL,44.071,37.929,0.022,0.055,0.129,0.292,0.65
HOU,44.489,37.511,0.019,0.062,0.131,0.302,0.692
CLE,46.886,35.114,0.018,0.041,0.123,0.409,0.919
PHO,43.046,38.954,0.016,0.051,0.117,0.246,0.545
ORL,46.695,35.305,0.016,0.046,0.131,0.384,0.89
DAL,43.908,38.092,0.012,0.036,0.084,0.213,0.614
GSW,42.503,39.497,0.011,0.031,0.068,0.187,0.481
SAC,43.827,38.173,0.01,0.037,0.094,0.237,0.596
MIA,45.844,36.156,0.006,0.025,0.097,0.313,0.867
IND,42.895,39.105,0.006,0.014,0.067,0.202,0.659
NOP,43.006,38.994,0.005,0.019,0.063,0.178,0.529
ATL,38.578,43.422,0.004,0.006,0.021,0.068,0.285
BRK,39.117,42.883,0.001,0.005,0.018,0.055,0.296
TOR,35.591,46.409,0.001,0.004,0.007,0.014,0.099
UTA,34.871,47.129,0.0,0.001,0.002,0.006,0.036
CHI,35.86,46.14,0.0,0.0,0.005,0.019,0.107
MEM,30.178,51.822,0.0,0.0,0.0,0.0,0.001
CHO,23.687,58.313,0.0,0.0,0.0,0.0,0.0
POR,22.974,59.026,0.0,0.0,0.0,0.0,0.0
SAS,21.499,60.501,0.0,0.0,0.0,0.0,0.0
WAS,18.151,63.849,0.0,0.0,0.0,0.0,0.0
DET,17.694,64.306,0.0,0.0,0.0,0.0,0.0
