boxscore_id,date,team_abbr,opponent_abbr,team_name,opponent_name,team_score,opponent_score,margin,location,pace,completed,year
202001010WAS,"Wed, Jan 1, 2020",WAS,ORL,Washington Wizards,Orlando Magic,101,122,-21,Home,102.3,True,2020
202001030WAS,"Fri, Jan 3, 2020",WAS,POR,Washington Wizards,Portland Trail Blazers,103,122,-19,Home,94.6,True,2020
202001040WAS,"Sat, Jan 4, 2020",WAS,DEN,Washington Wizards,Denver Nuggets,128,114,14,Home,99.5,True,2020
202001060WAS,"Mon, Jan 6, 2020",WAS,BOS,Washington Wizards,Boston Celtics,99,94,5,Home,101.2,True,2020
202001080ORL,"Wed, Jan 8, 2020",ORL,WAS,Orlando Magic,Washington Wizards,123,89,34,Home,103.1,True,2020
202001100WAS,"Fri, Jan 10, 2020",WAS,ATL,Washington Wizards,Atlanta Hawks,111,101,10,Home,108.7,True,2020
202001120WAS,"Sun, Jan 12, 2020",WAS,UTA,Washington Wizards,Utah Jazz,116,127,-11,Home,97.8,True,2020
202001150CHI,"Wed, Jan 15, 2020",CHI,WAS,Chicago Bulls,Washington Wizards,115,106,9,Home,98.6,True,2020
202001170TOR,"Fri, Jan 17, 2020",TOR,WAS,Toronto Raptors,Washington Wizards,140,111,29,Home,109.1,True,2020
202001200WAS,"Mon, Jan 20, 2020",WAS,DET,Washington Wizards,Detroit Pistons,106,100,6,Home,101.0,True,2020
202001220MIA,"Wed, Jan 22, 2020",MIA,WAS,Miami Heat,Washington Wizards,134,129,5,Home,98.9,True,2020
202001230CLE,"Thu, Jan 23, 2020",CLE,WAS,Cleveland Cavaliers,Washington Wizards,112,124,-12,Home,95.9,True,2020
202001260ATL,"Sun, Jan 26, 2020",ATL,WAS,Atlanta Hawks,Washington Wizards,152,133,19,Home,107.1,True,2020
202001300WAS,"Thu, Jan 30, 2020",WAS,CHO,Washington Wizards,Charlotte Hornets,121,107,14,Home,94.2,True,2020
202002010WAS,"Sat, Feb 1, 2020",WAS,BRK,Washington Wizards,Brooklyn Nets,113,107,6,Home,101.4,True,2020
202002030WAS,"Mon, Feb 3, 2020",WAS,GSW,Washington Wizards,Golden State Warriors,117,125,-8,Home,101.9,True,2020
202002070WAS,"Fri, Feb 7, 2020",WAS,DAL,Washington Wizards,Dallas Mavericks,119,118,1,Home,97.2,True,2020
202002090WAS,"Sun, Feb 9, 2020",WAS,MEM,Washington Wizards,Memphis Grizzlies,99,106,-7,Home,108.8,True,2020
202002110WAS,"Tue, Feb 11, 2020",WAS,CHI,Washington Wizards,Chicago Bulls,126,114,12,Home,106.3,True,2020
202002120NYK,"Wed, Feb 12, 2020",NYK,WAS,New York Knicks,Washington Wizards,96,114,-18,Home,103.6,True,2020
202002210WAS,"Fri, Feb 21, 2020",WAS,CLE,Washington Wizards,Cleveland Cavaliers,108,113,-5,Home,103.1,True,2020
202002230CHI,"Sun, Feb 23, 2020",CHI,WAS,Chicago Bulls,Washington Wizards,126,117,9,Home,105.6,True,2020
202002260WAS,"Wed, Feb 26, 2020",WAS,BRK,Washington Wizards,Brooklyn Nets,110,106,4,Home,101.8,True,2020
202002280UTA,"Fri, Feb 28, 2020",UTA,WAS,Utah Jazz,Washington Wizards,129,119,10,Home,101.2,True,2020
202003010GSW,"Sun, Mar 1, 2020",GSW,WAS,Golden State Warriors,Washington Wizards,110,124,-14,Home,100.2,True,2020
202003030SAC,"Tue, Mar 3, 2020",SAC,WAS,Sacramento Kings,Washington Wizards,133,126,7,Home,104.9,True,2020
202003040POR,"Wed, Mar 4, 2020",POR,WAS,Portland Trail Blazers,Washington Wizards,125,104,21,Home,100.7,True,2020
202003060WAS,"Fri, Mar 6, 2020",WAS,ATL,Washington Wizards,Atlanta Hawks,118,112,6,Home,98.3,True,2020
202003080WAS,"Sun, Mar 8, 2020",WAS,MIA,Washington Wizards,Miami Heat,89,100,-11,Home,92.8,True,2020
202003100WAS,"Tue, Mar 10, 2020",WAS,NYK,Washington Wizards,New York Knicks,122,115,7,Home,100.0,True,2020
202007310WAS,"Fri, Jul 31, 2020",WAS,PHO,Washington Wizards,Phoenix Suns,112,125,-13,Home,106.3,True,2020
202008020BRK,"Sun, Aug 2, 2020",BRK,WAS,Brooklyn Nets,Washington Wizards,118,110,8,Home,100.2,True,2020
202008030WAS,"Mon, Aug 3, 2020",WAS,IND,Washington Wizards,Indiana Pacers,100,111,-11,Home,99.5,True,2020
202008050WAS,"Wed, Aug 5, 2020",WAS,PHI,Washington Wizards,Philadelphia 76ers,98,107,-9,Home,100.1,True,2020
202008130BOS,"Thu, Aug 13, 2020",BOS,WAS,Boston Celtics,Washington Wizards,90,96,-6,Home,97.1,True,2020
201910230BRK,"Wed, Oct 23, 2019",BRK,MIN,Brooklyn Nets,Minnesota Timberwolves,126,127,-1,Home,105.2,True,2020
201910250BRK,"Fri, Oct 25, 2019",BRK,NYK,Brooklyn Nets,New York Knicks,113,109,4,Home,107.3,True,2020
201910270MEM,"Sun, Oct 27, 2019",MEM,BRK,Memphis Grizzlies,Brooklyn Nets,134,133,1,Home,106.8,True,2020
201910300BRK,"Wed, Oct 30, 2019",BRK,IND,Brooklyn Nets,Indiana Pacers,108,118,-10,Home,100.9,True,2020
201911020DET,"Sat, Nov 2, 2019",DET,BRK,Detroit Pistons,Brooklyn Nets,113,109,4,Home,103.3,True,2020
201911080POR,"Fri, Nov 8, 2019",POR,BRK,Portland Trail Blazers,Brooklyn Nets,115,119,-4,Home,100.5,True,2020
201911100PHO,"Sun, Nov 10, 2019",PHO,BRK,Phoenix Suns,Brooklyn Nets,138,112,26,Home,108.3,True,2020
201911120UTA,"Tue, Nov 12, 2019",UTA,BRK,Utah Jazz,Brooklyn Nets,119,114,5,Home,104.1,True,2020
201911140DEN,"Thu, Nov 14, 2019",DEN,BRK,Denver Nuggets,Brooklyn Nets,101,93,8,Home,98.7,True,2020
201911160CHI,"Sat, Nov 16, 2019",CHI,BRK,Chicago Bulls,Brooklyn Nets,111,117,-6,Home,107.7,True,2020
201911180BRK,"Mon, Nov 18, 2019",BRK,IND,Brooklyn Nets,Indiana Pacers,86,115,-29,Home,99.0,True,2020
201911200BRK,"Wed, Nov 20, 2019",BRK,CHO,Brooklyn Nets,Charlotte Hornets,101,91,10,Home,98.1,True,2020
201911220BRK,"Fri, Nov 22, 2019",BRK,SAC,Brooklyn Nets,Sacramento Kings,116,97,19,Home,99.2,True,2020
