boxscore_id,date,team,opponent,team_name,opponent_name,team_score,opponent_score,margin,location,pace,completed,year
202310240GSW,10/24/23 0:00,GSW,PHO,Golden State Warriors,Phoenix Suns,104,108,-4,Home,101.7,TRUE,2024
202310240DEN,10/24/23 0:00,DEN,LAL,Denver Nuggets,Los Angeles Lakers,119,107,12,Home,95.3,TRUE,2024
202310250ORL,10/25/23 0:00,ORL,HOU,Orlando Magic,Houston Rockets,116,86,30,Home,93.7,TRUE,2024
202310250SAS,10/25/23 0:00,SAS,DAL,San Antonio Spurs,Dallas Mavericks,119,126,-7,Home,106.4,TRUE,2024
202310250CHO,10/25/23 0:00,CHO,ATL,Charlotte Hornets,Atlanta Hawks,116,110,6,Home,103.4,TRUE,2024
202310250UTA,10/25/23 0:00,UTA,SAC,Utah Jazz,Sacramento Kings,114,130,-16,Home,101.6,TRUE,2024
202310250MEM,10/25/23 0:00,MEM,NOP,Memphis Grizzlies,New Orleans Pelicans,104,111,-7,Home,102.1,TRUE,2024
202310250LAC,10/25/23 0:00,LAC,POR,Los Angeles Clippers,Portland Trail Blazers,123,111,12,Home,98.3,TRUE,2024
202310250BRK,10/25/23 0:00,BRK,CLE,Brooklyn Nets,Cleveland Cavaliers,113,114,-1,Home,97.5,TRUE,2024
202310250IND,10/25/23 0:00,IND,WAS,Indiana Pacers,Washington Wizards,143,120,23,Home,110.6,TRUE,2024
202310250MIA,10/25/23 0:00,MIA,DET,Miami Heat,Detroit Pistons,103,102,1,Home,93.7,TRUE,2024
202310250TOR,10/25/23 0:00,TOR,MIN,Toronto Raptors,Minnesota Timberwolves,97,94,3,Home,102,TRUE,2024
202310250CHI,10/25/23 0:00,CHI,OKC,Chicago Bulls,Oklahoma City Thunder,104,124,-20,Home,98.3,TRUE,2024
202310250NYK,10/25/23 0:00,NYK,BOS,New York Knicks,Boston Celtics,104,108,-4,Home,94.4,TRUE,2024
202310260LAL,10/26/23 0:00,LAL,PHO,Los Angeles Lakers,Phoenix Suns,100,95,5,Home,100.8,TRUE,2024
202310260MIL,10/26/23 0:00,MIL,PHI,Milwaukee Bucks,Philadelphia 76ers,118,117,1,Home,101.7,TRUE,2024
202310270SAS,10/27/23 0:00,SAS,HOU,San Antonio Spurs,Houston Rockets,126,122,4,Home,100.4,TRUE,2024
202310270POR,10/27/23 0:00,POR,ORL,Portland Trail Blazers,Orlando Magic,97,102,-5,Home,95.1,TRUE,2024
202310270SAC,10/27/23 0:00,SAC,GSW,Sacramento Kings,Golden State Warriors,114,122,-8,Home,105,TRUE,2024
202310270CHO,10/27/23 0:00,CHO,DET,Charlotte Hornets,Detroit Pistons,99,111,-12,Home,106.7,TRUE,2024
202310270MEM,10/27/23 0:00,MEM,DEN,Memphis Grizzlies,Denver Nuggets,104,108,-4,Home,102.6,TRUE,2024
202310270UTA,10/27/23 0:00,UTA,LAC,Utah Jazz,Los Angeles Clippers,120,118,2,Home,96.7,TRUE,2024
202310270DAL,10/27/23 0:00,DAL,BRK,Dallas Mavericks,Brooklyn Nets,125,120,5,Home,100.6,TRUE,2024
202310270CLE,10/27/23 0:00,CLE,OKC,Cleveland Cavaliers,Oklahoma City Thunder,105,108,-3,Home,105.4,TRUE,2024
202310270ATL,10/27/23 0:00,ATL,NYK,Atlanta Hawks,New York Knicks,120,126,-6,Home,103.5,TRUE,2024
202310270BOS,10/27/23 0:00,BOS,MIA,Boston Celtics,Miami Heat,119,111,8,Home,99.3,TRUE,2024
202310270CHI,10/27/23 0:00,CHI,TOR,Chicago Bulls,Toronto Raptors,104,103,1,Home,97.8,TRUE,2024
202310280NOP,10/28/23 0:00,NOP,NYK,New Orleans Pelicans,New York Knicks,96,87,9,Home,99.8,TRUE,2024
202310280WAS,10/28/23 0:00,WAS,MEM,Washington Wizards,Memphis Grizzlies,113,106,7,Home,101.3,TRUE,2024
202310280CLE,10/28/23 0:00,CLE,IND,Cleveland Cavaliers,Indiana Pacers,113,125,-12,Home,96.7,TRUE,2024
202310280PHO,10/28/23 0:00,PHO,UTA,Phoenix Suns,Utah Jazz,126,104,22,Home,98.1,TRUE,2024
202310280TOR,10/28/23 0:00,TOR,PHI,Toronto Raptors,Philadelphia 76ers,107,114,-7,Home,92.5,TRUE,2024
202310280DET,10/28/23 0:00,DET,CHI,Detroit Pistons,Chicago Bulls,118,102,16,Home,91.9,TRUE,2024
202310280MIN,10/28/23 0:00,MIN,MIA,Minnesota Timberwolves,Miami Heat,106,90,16,Home,95.9,TRUE,2024
202310290HOU,10/29/23 0:00,HOU,GSW,Houston Rockets,Golden State Warriors,95,106,-11,Home,93.6,TRUE,2024
202310290LAC,10/29/23 0:00,LAC,SAS,Los Angeles Clippers,San Antonio Spurs,123,83,40,Home,104.5,TRUE,2024
202310290SAC,10/29/23 0:00,SAC,LAL,Sacramento Kings,Los Angeles Lakers,132,127,5,Home,104.5,TRUE,2024
202310290OKC,10/29/23 0:00,OKC,DEN,Oklahoma City Thunder,Denver Nuggets,95,128,-33,Home,95.9,TRUE,2024
202310290MIL,10/29/23 0:00,MIL,ATL,Milwaukee Bucks,Atlanta Hawks,110,127,-17,Home,103.2,TRUE,2024
202310290PHI,10/29/23 0:00,PHI,POR,Philadelphia 76ers,Portland Trail Blazers,126,98,28,Home,101,TRUE,2024
202310300LAL,10/30/23 0:00,LAL,ORL,Los Angeles Lakers,Orlando Magic,106,103,3,Home,98.5,TRUE,2024
202310300NOP,10/30/23 0:00,NOP,GSW,New Orleans Pelicans,Golden State Warriors,102,130,-28,Home,98.5,TRUE,2024
202310300CHO,10/30/23 0:00,CHO,BRK,Charlotte Hornets,Brooklyn Nets,121,133,-12,Home,103.2,TRUE,2024
202310300DEN,10/30/23 0:00,DEN,UTA,Denver Nuggets,Utah Jazz,110,102,8,Home,96.4,TRUE,2024
202310300MEM,10/30/23 0:00,MEM,DAL,Memphis Grizzlies,Dallas Mavericks,110,125,-15,Home,101.8,TRUE,2024
202310300MIL,10/30/23 0:00,MIL,MIA,Milwaukee Bucks,Miami Heat,122,114,8,Home,101.5,TRUE,2024
202310300ATL,10/30/23 0:00,ATL,MIN,Atlanta Hawks,Minnesota Timberwolves,127,113,14,Home,95.7,TRUE,2024
202310300IND,10/30/23 0:00,IND,CHI,Indiana Pacers,Chicago Bulls,105,112,-7,Home,101.4,TRUE,2024
202310300OKC,10/30/23 0:00,OKC,DET,Oklahoma City Thunder,Detroit Pistons,124,112,12,Home,102.1,TRUE,2024
202310300WAS,10/30/23 0:00,WAS,BOS,Washington Wizards,Boston Celtics,107,126,-19,Home,101.8,TRUE,2024
202310300TOR,10/30/23 0:00,TOR,POR,Toronto Raptors,Portland Trail Blazers,91,99,-8,Home,92.8,TRUE,2024
202310310LAC,10/31/23 0:00,LAC,ORL,Los Angeles Clippers,Orlando Magic,118,102,16,Home,103.2,TRUE,2024
202310310PHO,10/31/23 0:00,PHO,SAS,Phoenix Suns,San Antonio Spurs,114,115,-1,Home,101.6,TRUE,2024
202310310CLE,10/31/23 0:00,CLE,NYK,Cleveland Cavaliers,New York Knicks,91,109,-18,Home,95.5,TRUE,2024
202311010HOU,11/1/23 0:00,HOU,CHO,Houston Rockets,Charlotte Hornets,128,119,9,Home,101.1,TRUE,2024
202311010GSW,11/1/23 0:00,GSW,SAC,Golden State Warriors,Sacramento Kings,102,101,1,Home,93.7,TRUE,2024
202311010LAL,11/1/23 0:00,LAL,LAC,Los Angeles Lakers,Los Angeles Clippers,130,125,5,Home,99.2,TRUE,2024
202311010OKC,11/1/23 0:00,OKC,NOP,Oklahoma City Thunder,New Orleans Pelicans,106,110,-4,Home,102.8,TRUE,2024
202311010MIN,11/1/23 0:00,MIN,DEN,Minnesota Timberwolves,Denver Nuggets,110,89,21,Home,98.7,TRUE,2024
202311010UTA,11/1/23 0:00,UTA,MEM,Utah Jazz,Memphis Grizzlies,133,109,24,Home,106.6,TRUE,2024
202311010DAL,11/1/23 0:00,DAL,CHI,Dallas Mavericks,Chicago Bulls,114,105,9,Home,92,TRUE,2024
202311010TOR,11/1/23 0:00,TOR,MIL,Toronto Raptors,Milwaukee Bucks,130,111,19,Home,95.6,TRUE,2024
202311010NYK,11/1/23 0:00,NYK,CLE,New York Knicks,Cleveland Cavaliers,89,95,-6,Home,96,TRUE,2024
202311010ATL,11/1/23 0:00,ATL,WAS,Atlanta Hawks,Washington Wizards,130,121,9,Home,109.9,TRUE,2024
202311010BOS,11/1/23 0:00,BOS,IND,Boston Celtics,Indiana Pacers,155,104,51,Home,104.5,TRUE,2024
202311010DET,11/1/23 0:00,DET,POR,Detroit Pistons,Portland Trail Blazers,101,110,-9,Home,103.9,TRUE,2024
202311010MIA,11/1/23 0:00,MIA,BRK,Miami Heat,Brooklyn Nets,105,109,-4,Home,102.3,TRUE,2024
202311020UTA,11/2/23 0:00,UTA,ORL,Utah Jazz,Orlando Magic,113,115,-2,Home,104.8,TRUE,2024
202311020PHO,11/2/23 0:00,PHO,SAS,Phoenix Suns,San Antonio Spurs,121,132,-11,Home,99.2,TRUE,2024
202311020NOP,11/2/23 0:00,NOP,DET,New Orleans Pelicans,Detroit Pistons,125,116,9,Home,97.7,TRUE,2024
202311020PHI,11/2/23 0:00,PHI,TOR,Philadelphia 76ers,Toronto Raptors,114,99,15,Home,97.3,TRUE,2024
202311030OKC,11/3/23 0:00,OKC,GSW,Oklahoma City Thunder,Golden State Warriors,139,141,-2,Home,104.8,TRUE,2024
202311030DEN,11/3/23 0:00,DEN,DAL,Denver Nuggets,Dallas Mavericks,125,114,11,Home,96.6,TRUE,2024
202311030POR,11/3/23 0:00,POR,MEM,Portland Trail Blazers,Memphis Grizzlies,115,113,2,Home,98.5,TRUE,2024
202311030MIL,11/3/23 0:00,MIL,NYK,Milwaukee Bucks,New York Knicks,110,105,5,Home,97.9,TRUE,2024
202311030IND,11/3/23 0:00,IND,CLE,Indiana Pacers,Cleveland Cavaliers,121,116,5,Home,103.3,TRUE,2024
202311030CHI,11/3/23 0:00,CHI,BRK,Chicago Bulls,Brooklyn Nets,107,109,-2,Home,94.3,TRUE,2024
202311030MIA,11/3/23 0:00,MIA,WAS,Miami Heat,Washington Wizards,121,114,7,Home,100.4,TRUE,2024
202311040HOU,11/4/23 0:00,HOU,SAC,Houston Rockets,Sacramento Kings,107,89,18,Home,94.3,TRUE,2024
202311040ORL,11/4/23 0:00,ORL,LAL,Orlando Magic,Los Angeles Lakers,120,101,19,Home,99.1,TRUE,2024
202311040IND,11/4/23 0:00,IND,CHO,Indiana Pacers,Charlotte Hornets,124,125,-1,Home,97.6,TRUE,2024
202311040NOP,11/4/23 0:00,NOP,ATL,New Orleans Pelicans,Atlanta Hawks,105,123,-18,Home,91.6,TRUE,2024
202311040DEN,11/4/23 0:00,DEN,CHI,Denver Nuggets,Chicago Bulls,123,101,22,Home,94.9,TRUE,2024
202311040PHI,11/4/23 0:00,PHI,PHO,Philadelphia 76ers,Phoenix Suns,112,100,12,Home,95.3,TRUE,2024
202311040BRK,11/4/23 0:00,BRK,BOS,Brooklyn Nets,Boston Celtics,114,124,-10,Home,99.7,TRUE,2024
202311040MIN,11/4/23 0:00,MIN,UTA,Minnesota Timberwolves,Utah Jazz,123,95,28,Home,94,TRUE,2024
202311050SAS,11/5/23 0:00,SAS,TOR,San Antonio Spurs,Toronto Raptors,116,123,-7,Home,97,TRUE,2024
202311050CLE,11/5/23 0:00,CLE,GSW,Cleveland Cavaliers,Golden State Warriors,115,104,11,Home,98.9,TRUE,2024
202311050DAL,11/5/23 0:00,DAL,CHO,Dallas Mavericks,Charlotte Hornets,124,118,6,Home,103.5,TRUE,2024
202311050POR,11/5/23 0:00,POR,MEM,Portland Trail Blazers,Memphis Grizzlies,100,112,-12,Home,97.8,TRUE,2024
202311050DET,11/5/23 0:00,DET,PHO,Detroit Pistons,Phoenix Suns,106,120,-14,Home,97.4,TRUE,2024
