boxscore_id,date,team_abbr,opponent_abbr,team_name,opponent_name,team_score,opponent_score,margin,location,pace,completed,year
201310300HOU,"Wed, Oct 30, 2013",HOU,CHA,Houston Rockets,Charlotte Bobcats,96,83,13,Home,89.6,True,2014
201311010HOU,"Fri, Nov 1, 2013",HOU,DAL,Houston Rockets,Dallas Mavericks,113,105,8,Home,103.1,True,2014
201311020UTA,"Sat, Nov 2, 2013",UTA,HOU,Utah Jazz,Houston Rockets,93,104,-11,Home,89.9,True,2014
201311040LAC,"Mon, Nov 4, 2013",LAC,HOU,Los Angeles Clippers,Houston Rockets,137,118,19,Home,102.8,True,2014
201311050POR,"Tue, Nov 5, 2013",POR,HOU,Portland Trail Blazers,Houston Rockets,101,116,-15,Home,98.1,True,2014
201311070HOU,"Thu, Nov 7, 2013",HOU,LAL,Houston Rockets,Los Angeles Lakers,98,99,-1,Home,105.6,True,2014
201311090HOU,"Sat, Nov 9, 2013",HOU,LAC,Houston Rockets,Los Angeles Clippers,94,107,-13,Home,94.9,True,2014
201311110HOU,"Mon, Nov 11, 2013",HOU,TOR,Houston Rockets,Toronto Raptors,110,104,6,Home,92.7,True,2014
201311130PHI,"Wed, Nov 13, 2013",PHI,HOU,Philadelphia 76ers,Houston Rockets,123,117,6,Home,99.9,True,2014
201311140NYK,"Thu, Nov 14, 2013",NYK,HOU,New York Knicks,Houston Rockets,106,109,-3,Home,91.1,True,2014
201311160HOU,"Sat, Nov 16, 2013",HOU,DEN,Houston Rockets,Denver Nuggets,122,111,11,Home,100.1,True,2014
201311190HOU,"Tue, Nov 19, 2013",HOU,BOS,Houston Rockets,Boston Celtics,109,85,24,Home,95.8,True,2014
201311200DAL,"Wed, Nov 20, 2013",DAL,HOU,Dallas Mavericks,Houston Rockets,123,120,3,Home,92.4,True,2014
201311230HOU,"Sat, Nov 23, 2013",HOU,MIN,Houston Rockets,Minnesota Timberwolves,112,101,11,Home,97.1,True,2014
201311250MEM,"Mon, Nov 25, 2013",MEM,HOU,Memphis Grizzlies,Houston Rockets,86,93,-7,Home,86.7,True,2014
201311270HOU,"Wed, Nov 27, 2013",HOU,ATL,Houston Rockets,Atlanta Hawks,113,84,29,Home,91.3,True,2014
201311290HOU,"Fri, Nov 29, 2013",HOU,BRK,Houston Rockets,Brooklyn Nets,114,95,19,Home,91.4,True,2014
201311300SAS,"Sat, Nov 30, 2013",SAS,HOU,San Antonio Spurs,Houston Rockets,106,112,-6,Home,104.6,True,2014
201312020UTA,"Mon, Dec 2, 2013",UTA,HOU,Utah Jazz,Houston Rockets,109,103,6,Home,87.5,True,2014
201312040HOU,"Wed, Dec 4, 2013",HOU,PHO,Houston Rockets,Phoenix Suns,88,97,-9,Home,94.5,True,2014
201312060HOU,"Fri, Dec 6, 2013",HOU,GSW,Houston Rockets,Golden State Warriors,105,83,22,Home,99.8,True,2014
201312080HOU,"Sun, Dec 8, 2013",HOU,ORL,Houston Rockets,Orlando Magic,98,88,10,Home,94.6,True,2014
201312120POR,"Thu, Dec 12, 2013",POR,HOU,Portland Trail Blazers,Houston Rockets,111,104,7,Home,96.6,True,2014
201312130GSW,"Fri, Dec 13, 2013",GSW,HOU,Golden State Warriors,Houston Rockets,112,116,-4,Home,98.5,True,2014
201312150SAC,"Sun, Dec 15, 2013",SAC,HOU,Sacramento Kings,Houston Rockets,106,91,15,Home,98.0,True,2014
201312180HOU,"Wed, Dec 18, 2013",HOU,CHI,Houston Rockets,Chicago Bulls,109,94,15,Home,92.4,True,2014
201312200IND,"Fri, Dec 20, 2013",IND,HOU,Indiana Pacers,Houston Rockets,114,81,33,Home,95.4,True,2014
201312210DET,"Sat, Dec 21, 2013",DET,HOU,Detroit Pistons,Houston Rockets,97,114,-17,Home,96.1,True,2014
201312230HOU,"Mon, Dec 23, 2013",HOU,DAL,Houston Rockets,Dallas Mavericks,104,111,-7,Home,89.5,True,2014
201312250SAS,"Wed, Dec 25, 2013",SAS,HOU,San Antonio Spurs,Houston Rockets,98,111,-13,Home,93.0,True,2014
201312260HOU,"Thu, Dec 26, 2013",HOU,MEM,Houston Rockets,Memphis Grizzlies,100,92,8,Home,87.9,True,2014
201312280HOU,"Sat, Dec 28, 2013",HOU,NOP,Houston Rockets,New Orleans Pelicans,107,98,9,Home,91.9,True,2014
201312290OKC,"Sun, Dec 29, 2013",OKC,HOU,Oklahoma City Thunder,Houston Rockets,117,86,31,Home,94.3,True,2014
201312310HOU,"Tue, Dec 31, 2013",HOU,SAC,Houston Rockets,Sacramento Kings,106,110,-4,Home,96.1,True,2014
