boxscore_id,date,team_abbr,opponent_abbr,team_name,opponent_name,team_score,opponent_score,margin,location,pace,completed,year
202012260POR,"Sat, Dec 26, 2020",POR,HOU,Portland Trail Blazers,Houston Rockets,128,126,2,Home,97.2,True,2021
202012280DEN,"Mon, Dec 28, 2020",DEN,HOU,Denver Nuggets,Houston Rockets,124,111,13,Home,103.8,True,2021
202012310HOU,"Thu, Dec 31, 2020",HOU,SAC,Houston Rockets,Sacramento Kings,122,119,3,Home,104.2,True,2021
202101020HOU,"Sat, Jan 2, 2021",HOU,SAC,Houston Rockets,Sacramento Kings,102,94,8,Home,96.7,True,2021
202101040HOU,"Mon, Jan 4, 2021",HOU,DAL,Houston Rockets,Dallas Mavericks,100,113,-13,Home,94.5,True,2021
202101060IND,"Wed, Jan 6, 2021",IND,HOU,Indiana Pacers,Houston Rockets,114,107,7,Home,100.5,True,2021
202101080HOU,"Fri, Jan 8, 2021",HOU,ORL,Houston Rockets,Orlando Magic,132,90,42,Home,96.5,True,2021
202101100HOU,"Sun, Jan 10, 2021",HOU,LAL,Houston Rockets,Los Angeles Lakers,102,120,-18,Home,105.3,True,2021
202101120HOU,"Tue, Jan 12, 2021",HOU,LAL,Houston Rockets,Los Angeles Lakers,100,117,-17,Home,104.0,True,2021
202101140SAS,"Thu, Jan 14, 2021",SAS,HOU,San Antonio Spurs,Houston Rockets,105,109,-4,Home,98.8,True,2021
202101160SAS,"Sat, Jan 16, 2021",SAS,HOU,San Antonio Spurs,Houston Rockets,103,91,12,Home,102.8,True,2021
202101180CHI,"Mon, Jan 18, 2021",CHI,HOU,Chicago Bulls,Houston Rockets,125,120,5,Home,107.5,True,2021
202101200HOU,"Wed, Jan 20, 2021",HOU,PHO,Houston Rockets,Phoenix Suns,103,109,-6,Home,103.8,True,2021
202101220DET,"Fri, Jan 22, 2021",DET,HOU,Detroit Pistons,Houston Rockets,102,103,-1,Home,101.0,True,2021
202101230DAL,"Sat, Jan 23, 2021",DAL,HOU,Dallas Mavericks,Houston Rockets,108,133,-25,Home,98.3,True,2021
202101260HOU,"Tue, Jan 26, 2021",HOU,WAS,Houston Rockets,Washington Wizards,107,88,19,Home,101.7,True,2021
202101280HOU,"Thu, Jan 28, 2021",HOU,POR,Houston Rockets,Portland Trail Blazers,104,101,3,Home,98.9,True,2021
202101300NOP,"Sat, Jan 30, 2021",NOP,HOU,New Orleans Pelicans,Houston Rockets,112,126,-14,Home,105.8,True,2021
202102010OKC,"Mon, Feb 1, 2021",OKC,HOU,Oklahoma City Thunder,Houston Rockets,106,136,-30,Home,104.5,True,2021
202102030OKC,"Wed, Feb 3, 2021",OKC,HOU,Oklahoma City Thunder,Houston Rockets,104,87,17,Home,107.0,True,2021
202102040MEM,"Thu, Feb 4, 2021",MEM,HOU,Memphis Grizzlies,Houston Rockets,103,115,-12,Home,97.5,True,2021
202102060HOU,"Sat, Feb 6, 2021",HOU,SAS,Houston Rockets,San Antonio Spurs,106,111,-5,Home,103.0,True,2021
202102080CHO,"Mon, Feb 8, 2021",CHO,HOU,Charlotte Hornets,Houston Rockets,119,94,25,Home,95.3,True,2021
202102090NOP,"Tue, Feb 9, 2021",NOP,HOU,New Orleans Pelicans,Houston Rockets,130,101,29,Home,96.2,True,2021
202102110HOU,"Thu, Feb 11, 2021",HOU,MIA,Houston Rockets,Miami Heat,94,101,-7,Home,96.5,True,2021
202102130NYK,"Sat, Feb 13, 2021",NYK,HOU,New York Knicks,Houston Rockets,121,99,22,Home,96.5,True,2021
202102150WAS,"Mon, Feb 15, 2021",WAS,HOU,Washington Wizards,Houston Rockets,131,119,12,Home,110.4,True,2021
202102170PHI,"Wed, Feb 17, 2021",PHI,HOU,Philadelphia 76ers,Houston Rockets,118,113,5,Home,106.3,True,2021
202102220HOU,"Mon, Feb 22, 2021",HOU,CHI,Houston Rockets,Chicago Bulls,100,120,-20,Home,99.1,True,2021
202102240CLE,"Wed, Feb 24, 2021",CLE,HOU,Cleveland Cavaliers,Houston Rockets,112,96,16,Home,93.4,True,2021
202102260TOR,"Fri, Feb 26, 2021",TOR,HOU,Toronto Raptors,Houston Rockets,122,111,11,Home,99.4,True,2021
202102280HOU,"Sun, Feb 28, 2021",HOU,MEM,Houston Rockets,Memphis Grizzlies,84,133,-49,Home,109.0,True,2021
202103010HOU,"Mon, Mar 1, 2021",HOU,CLE,Houston Rockets,Cleveland Cavaliers,90,101,-11,Home,94.8,True,2021
202103030HOU,"Wed, Mar 3, 2021",HOU,BRK,Houston Rockets,Brooklyn Nets,114,132,-18,Home,98.2,True,2021
202103110SAC,"Thu, Mar 11, 2021",SAC,HOU,Sacramento Kings,Houston Rockets,125,105,20,Home,106.6,True,2021
202103120UTA,"Fri, Mar 12, 2021",UTA,HOU,Utah Jazz,Houston Rockets,114,99,15,Home,102.7,True,2021
202103140HOU,"Sun, Mar 14, 2021",HOU,BOS,Houston Rockets,Boston Celtics,107,134,-27,Home,103.0,True,2021
202103160HOU,"Tue, Mar 16, 2021",HOU,ATL,Houston Rockets,Atlanta Hawks,107,119,-12,Home,93.4,True,2021
202103170HOU,"Wed, Mar 17, 2021",HOU,GSW,Houston Rockets,Golden State Warriors,94,108,-14,Home,102.0,True,2021
202103190HOU,"Fri, Mar 19, 2021",HOU,DET,Houston Rockets,Detroit Pistons,100,113,-13,Home,97.0,True,2021
202103210HOU,"Sun, Mar 21, 2021",HOU,OKC,Houston Rockets,Oklahoma City Thunder,112,114,-2,Home,97.1,True,2021
202103220HOU,"Mon, Mar 22, 2021",HOU,TOR,Houston Rockets,Toronto Raptors,117,99,18,Home,99.0,True,2021
202103240HOU,"Wed, Mar 24, 2021",HOU,CHO,Houston Rockets,Charlotte Hornets,97,122,-25,Home,91.7,True,2021
202103260MIN,"Fri, Mar 26, 2021",MIN,HOU,Minnesota Timberwolves,Houston Rockets,107,101,6,Home,103.2,True,2021
202103270MIN,"Sat, Mar 27, 2021",MIN,HOU,Minnesota Timberwolves,Houston Rockets,107,129,-22,Home,96.2,True,2021
202103290HOU,"Mon, Mar 29, 2021",HOU,MEM,Houston Rockets,Memphis Grizzlies,110,120,-10,Home,103.2,True,2021
202103310BRK,"Wed, Mar 31, 2021",BRK,HOU,Brooklyn Nets,Houston Rockets,120,108,12,Home,93.4,True,2021
202104020BOS,"Fri, Apr 2, 2021",BOS,HOU,Boston Celtics,Houston Rockets,118,102,16,Home,95.7,True,2021
202104040HOU,"Sun, Apr 4, 2021",HOU,NOP,Houston Rockets,New Orleans Pelicans,115,122,-7,Home,105.4,True,2021
202104050HOU,"Mon, Apr 5, 2021",HOU,PHO,Houston Rockets,Phoenix Suns,130,133,-3,Home,103.7,True,2021
202104070HOU,"Wed, Apr 7, 2021",HOU,DAL,Houston Rockets,Dallas Mavericks,102,93,9,Home,92.3,True,2021
202104090LAC,"Fri, Apr 9, 2021",LAC,HOU,Los Angeles Clippers,Houston Rockets,126,109,17,Home,96.3,True,2021
202104100GSW,"Sat, Apr 10, 2021",GSW,HOU,Golden State Warriors,Houston Rockets,125,109,16,Home,102.1,True,2021
202104120PHO,"Mon, Apr 12, 2021",PHO,HOU,Phoenix Suns,Houston Rockets,126,120,6,Home,102.2,True,2021
